date,index1,index2,loss_profits,pred_date,prediction,real,0.586614173,4.559060409,-4.567475718,24.95000033,-23.54999949
2017-08-07,312.9,304.6,-8.300000011,2017-08-14,0.442655772,-2.604602814,,,,,
2017-08-08,312.85,304.6000004,-8.249999639,2017-08-15,1.400682449,-2.596490622,,,,,
2017-08-09,308.65,306.25,-2.400000013,2017-08-16,1.044991374,-0.67858398,,,,,
2017-08-10,307.25,307.9,0.649999977,2017-08-17,0.378962547,0.159450173,,,,,
2017-08-11,301.5,307.7499999,6.24999994,2017-08-18,1.307662964,1.206529498,,,,,
2017-08-14,304.6,307.05,2.44999999,2017-08-21,1.862947464,0.433765829,,,,,
2017-08-15,304.6,308.7000001,4.100000073,2017-08-22,2.129458189,0.684621036,,,,,
2017-08-16,306.25,308.6,2.349999965,2017-08-23,1.279321432,0.385417521,,,,,
2017-08-17,307.9,310.1,2.199999963,2017-08-24,0.522263765,0.366177946,,,,,
2017-08-18,307.75,310.25,2.499999999,2017-08-25,1.251652122,0.43496722,,,,,
2017-08-21,307.05,308.2,1.149999971,2017-08-28,2.092132092,0.212965384,,,,,
2017-08-22,308.7,307.15,-1.550000022,2017-08-29,1.312608719,-0.307442844,,,,,
2017-08-23,308.6,309,0.400000009,2017-08-30,1.748177886,0.085795544,,,,,
2017-08-24,310.1,306.65,-3.450000048,2017-08-31,1.238424897,-0.84877646,,,,,
2017-08-25,310.25,306.3,-3.949999971,2017-09-01,0.560201943,-0.984918773,,,,,
2017-08-28,308.2,303.4999999,-4.700000052,2017-09-04,0.197125867,-1.203388095,,,,,
2017-08-29,307.15,302.7000002,4.449999831,2017-09-05,-1.094375372,-1.260356307,,,,,
2017-08-30,309,302.3000003,6.699999678,2017-09-06,-0.226257339,-2.281799078,,,,,
2017-08-31,306.65,306.2,-0.450000007,2017-09-07,0.983444452,-0.157570645,,,,,
2017-09-01,306.3,306.25,-0.049999999,2017-09-08,0.732648969,-0.018826215,,,,,
2017-09-04,303.5,309.2500002,5.750000207,2017-09-11,1.19835043,2.266221523,,,,,
2017-09-05,302.7,309.1999999,6.499999924,2017-09-12,0.592089891,2.721476316,,,,,
2017-09-06,302.3,308.5500003,6.2500003,2017-09-13,1.109491229,2.450049877,,,,,
2017-09-07,306.2,310.2500001,4.050000057,2017-09-14,0.577206135,1.590793252,,,,,
2017-09-08,306.25,311.1999998,4.949999834,2017-09-15,1.428003073,2.186068535,,,,,
2017-09-11,309.25,316.6999999,-7.449999875,2017-09-18,-1.189990997,3.273583174,,,,,
2017-09-12,309.2,316.0499999,-6.849999892,2017-09-19,-0.493029445,3.031268597,,,,,
2017-09-13,308.55,315.8000001,-7.250000123,2017-09-20,-1.126727581,3.194862366,,,,,
2017-09-14,310.25,316.0500001,-5.800000088,2017-09-21,-0.091175355,2.455539942,,,,,
2017-09-15,311.2,313.75,-2.550000037,2017-09-22,-0.043398716,1.015766144,,,,,
2017-09-18,316.7,313.8,2.900000039,2017-09-25,-1.120330572,-0.897952259,,,,,
2017-09-19,316.05,311.8000001,4.249999949,2017-09-26,-0.733397245,-1.151080728,,,,,
2017-09-20,315.8,311.4000001,4.399999901,2017-09-27,-1.074790239,-1.087808967,,,,,
2017-09-21,316.05,311.5999998,4.450000153,2017-09-28,-0.598102927,-1.022043943,,,,,
2017-09-22,313.75,314.3,-0.54999999,2017-09-29,-0.154649004,0.122977689,,,,,
2017-09-25,313.8,314.3,0.500000016,2017-10-02,0.460483462,0.109240256,,,,,
2017-09-26,311.8,314.3000001,2.500000057,2017-10-03,1.129098535,0.547313333,,,,,
2017-09-27,311.4,314.3000001,2.900000084,2017-10-04,0.616629124,0.633446991,,,,,
2017-09-28,311.6,314.3000001,2.700000084,2017-10-05,0.765155375,0.596348345,,,,,
2017-09-29,314.3,314.3,0,2017-10-06,0.267057419,0,,,,,
2017-10-02,314.3,314.3,0,2017-10-09,0.508427262,0,,,,,
2017-10-03,314.3,320.1499998,5.849999849,2017-10-10,0.785114646,1.519953132,,,,,
2017-10-04,314.3,323.2500003,8.95000032,2017-10-11,0.698655725,2.802408934,,,,,
2017-10-05,314.3,325.65,11.34999999,2017-10-12,0.411025494,3.935011864,,,,,
2017-10-06,314.3,325.3000002,11.00000015,2017-10-13,0.228704542,4.442800999,,,,,
2017-10-09,314.3,325.5,11.20000005,2017-10-16,0.130005881,4.828677654,,,,,
2017-10-10,320.15,325.7999998,-5.649999828,2017-10-17,-0.168265283,2.193468571,,,,,
2017-10-11,323.25,325.8500001,2.600000065,2017-10-18,0.676951647,0.856131256,,,,,
2017-10-12,325.65,324.1,1.550000013,2017-10-19,-0.295443356,-0.413702786,,,,,
2017-10-13,325.3,326.25,-0.949999997,2017-10-20,-0.589334249,0.2251959,,,,,
2017-10-16,325.5,327.05,-1.550000002,2017-10-23,-0.356433213,0.328586519,,,,,
2017-10-17,325.8,326.55,0.74999997,2017-10-24,0.297150999,0.145602912,,,,,
2017-10-18,325.85,326.75,-0.90000002,2017-10-25,-0.31759572,0.163458005,,,,,
2017-10-19,324.1,323.75,-0.350000006,2017-10-26,0.073710121,-0.061557651,,,,,
