date,index1,index2,loss_profits,pred_date,prediction,real,0.531496063
2017-08-10,307.25,307.9,0.650000003,2017-08-17,0.609541893,0.21155411,
2017-08-11,301.5,307.75,6.249999976,2017-08-18,2.113327742,2.072968483,
2017-08-14,304.6,307.05,2.450000047,2017-08-21,3.227160692,0.804333568,
2017-08-15,304.6,308.7000001,4.100000108,2017-08-22,3.258927345,1.346027613,
2017-08-16,306.25,308.5999999,2.349999938,2017-08-23,1.974393606,0.767346919,
2017-08-17,307.9,310.1,2.200000037,2017-08-24,1.381469488,0.714517713,
2017-08-18,307.75,310.2500001,2.500000078,2017-08-25,2.075615644,0.81234771,
2017-08-21,307.05,308.2,1.15,2017-08-28,2.677906513,0.374531835,
2017-08-22,308.7,307.15,-1.549999968,2017-08-29,1.984310389,-0.502105594,
2017-08-23,308.6,309,0.400000011,2017-08-30,2.582773685,0.129617631,
2017-08-24,310.1,306.6500001,-3.449999869,2017-08-31,0.874113023,-1.112544298,
2017-08-25,310.25,306.3000001,3.949999922,2017-09-01,-0.119964011,-1.273166776,
2017-08-28,308.2,303.5,-4.69999996,2017-09-04,0.562713146,-1.524983764,
2017-08-29,307.15,302.6999999,4.450000086,2017-09-05,-0.876527727,-1.448803544,
2017-08-30,309,302.2999997,6.700000319,2017-09-06,-0.804620743,-2.168284893,
2017-08-31,306.65,306.2,-0.45000002,2017-09-07,0.168579563,-0.146747112,
2017-09-01,306.3,306.25,-0.049999997,2017-09-08,0.197749272,-0.016323864,
2017-09-04,303.5,309.25,5.75000003,2017-09-11,0.828820586,1.894563437,
2017-09-05,302.7,309.1999998,6.499999803,2017-09-12,0.127096221,2.147340536,
2017-09-06,302.3,308.5500002,6.250000232,2017-09-13,1.233122468,2.06748271,
2017-09-07,306.2,310.2500002,-4.050000157,2017-09-14,-0.627972722,1.322664976,
2017-09-08,306.25,311.2000001,-4.950000122,2017-09-15,-0.007857561,1.616326571,
2017-09-11,309.25,316.7000004,-7.450000359,2017-09-18,-0.411304474,2.409054279,
2017-09-12,309.2,316.0499998,-6.849999784,2017-09-19,-0.974473953,2.215394497,
2017-09-13,308.55,315.8,-7.250000006,2017-09-20,-1.229577065,2.349700212,
2017-09-14,310.25,316.05,-5.799999979,2017-09-21,-0.476999819,1.869460106,
2017-09-15,311.2,313.7499999,-2.54999992,2017-09-22,-0.788158596,0.819408715,
2017-09-18,316.7,313.7999999,2.900000061,2017-09-25,-1.98153615,-0.915693104,
2017-09-19,316.05,311.8,4.250000012,2017-09-26,-0.15444757,-1.34472394,
2017-09-20,315.8,311.3999998,4.400000167,2017-09-27,-0.017028362,-1.393286943,
2017-09-21,316.05,311.5999998,-4.450000177,2017-09-28,0.539223433,-1.408005118,
2017-09-22,313.75,314.3,-0.550000016,2017-09-29,-0.328899503,0.17529881,
2017-09-25,313.8,314.3,0.500000017,2017-10-02,0.500320852,0.159337163,
2017-09-26,311.8,314.3,2.499999987,2017-10-03,0.612792373,0.801796019,
2017-09-27,311.4,314.3,2.900000033,2017-10-04,1.979273438,0.93127811,
2017-09-28,311.6,314.2999999,2.699999947,2017-10-05,1.34292829,0.86649549,
2017-09-29,314.3,314.3,0,2017-10-06,0.340473145,0,
2017-10-02,314.3,314.3,0,2017-10-09,0.341368824,0,
2017-10-03,314.3,320.1499999,5.849999931,2017-10-10,0.493975878,1.861279011,
2017-10-04,314.3,323.25,8.950000003,2017-10-11,0.646069705,2.847597837,
2017-10-05,314.3,325.6499996,11.34999965,2017-10-12,0.501081765,3.611199379,
2017-10-06,314.3,325.3000002,11.00000018,2017-10-13,0.415021569,3.499840975,
2017-10-09,314.3,325.5000001,11.20000009,2017-10-16,0.097063564,3.563474417,
2017-10-10,320.15,325.8000002,5.650000178,2017-10-17,0.079347454,1.764797807,
2017-10-11,323.25,325.85,-2.599999972,2017-10-18,-0.241779491,0.804331005,
2017-10-12,325.65,324.1,1.549999993,2017-10-19,-0.729955554,-0.475971133,
2017-10-13,325.3,326.25,-0.949999981,2017-10-20,-1.069678307,0.292038113,
2017-10-16,325.5,327.05,-1.550000005,2017-10-23,-1.167215943,0.476190478,
2017-10-17,325.8,326.55,-0.749999975,2017-10-24,-0.316632658,0.230202571,
2017-10-18,325.85,326.75,-0.900000019,2017-10-25,-0.274594337,0.276200712,
2017-10-19,324.1,323.75,-0.349999998,2017-10-26,0.482354373,-0.10799136,
2017-10-20,326.25,326.85,0.599999998,2017-10-27,1.244134665,0.183908045,
2017-10-23,327.05,327.45,0.400000008,2017-10-30,0.071676455,0.12230546,
2017-10-24,326.55,331.05,4.499999987,2017-10-31,0.112655558,1.378043175,
2017-10-25,326.75,336.5500001,9.800000084,2017-11-01,0.279056787,2.999234915,
2017-10-26,323.75,335.0499997,11.29999966,2017-11-02,0.812800407,3.490347385,
2017-10-27,326.85,336.35,9.500000003,2017-11-03,0.228887603,2.906532049,
2017-10-30,327.45,334.1500002,6.700000188,2017-11-06,0.083951429,2.046113968,
2017-10-31,331.05,333.7499999,2.699999922,2017-11-07,1.160892487,0.815586746,
2017-11-01,336.55,335.25,-1.299999965,2017-11-08,0.735048294,-0.38627246,
2017-11-02,335.05,333.65,-1.399999993,2017-11-09,0.804161429,-0.41784808,
2017-11-03,336.35,332.9,-3.449999999,2017-11-10,1.336430311,-1.025717258,
2017-11-06,334.15,331.5499999,-2.600000084,2017-11-13,0.354609489,-0.778093696,
2017-11-07,333.75,331.3,-2.450000013,2017-11-14,0.611265421,-0.734082401,
2017-11-08,335.25,329.1500001,-6.099999937,2017-11-15,0.062136553,-1.81953764,
2017-11-09,333.65,331.3000001,2.34999992,2017-11-16,-0.051654655,-0.704330862,
2017-11-10,332.9,330.95,-1.949999992,2017-11-17,1.190596938,-0.585761487,
2017-11-13,331.55,329.45,-2.100000031,2017-11-20,0.428351343,-0.633388638,
2017-11-14,331.3,330.85,0.450000001,2017-11-21,-0.396563768,-0.135828555,
2017-11-15,329.15,332.5500002,3.400000192,2017-11-22,0.588387728,1.032963753,
2017-11-16,331.3,331.45,-0.149999996,2017-11-23,-0.637215257,0.045276184,
2017-11-17,330.95,332.25,-1.300000017,2017-11-24,-0.527081251,0.392808586,
2017-11-20,329.45,325.9,-3.550000041,2017-11-27,0.857131362,-1.077553511,
2017-11-21,330.85,327.7000001,-3.149999905,2017-11-28,0.277637362,-0.952093065,
2017-11-22,332.55,327.7,4.850000019,2017-11-29,-0.242801279,-1.45842731,
2017-11-23,331.45,322.2499997,-9.200000269,2017-11-30,0.077184856,-2.775682688,
2017-11-24,332.25,321.8500003,10.39999969,2017-12-01,-0.736088693,-3.130172968,
2017-11-27,325.9,325,-0.900000007,2017-12-04,1.912324667,-0.276158333,
2017-11-28,327.7,326.6,-1.100000045,2017-12-05,0.331598639,-0.335672885,
2017-11-29,327.7,321.6499999,-6.0500001,2017-12-06,0.095613763,-1.846200824,
2017-11-30,322.25,320.7,1.550000047,2017-12-07,-0.02787588,-0.480993032,
2017-12-01,321.85,321.4,-0.450000006,2017-12-08,0.376780391,-0.139816687,
2017-12-04,325,321.4999998,3.500000179,2017-12-11,-0.288350463,-1.076923132,
2017-12-05,326.6,320.4500001,6.149999916,2017-12-12,-0.043582965,-1.883037329,
2017-12-06,321.65,322.85,1.199999982,2017-12-13,0.365368485,0.37307632,
2017-12-07,320.7,324.2999999,3.599999916,2017-12-14,0.709654093,1.122544408,
2017-12-08,321.4,322.75,-1.349999976,2017-12-15,-0.296245486,0.420037329,
2017-12-11,321.5,324.1499999,2.649999913,2017-12-18,2.497121334,0.824261248,
2017-12-12,320.45,323.8500001,3.400000061,2017-12-19,1.909818172,1.061007977,
2017-12-13,322.85,323.55,0.700000008,2017-12-20,1.414852023,0.216818959,
2017-12-14,324.3,316.8500004,-7.449999639,2017-12-21,0.355527461,-2.297255516,
2017-12-15,322.75,318.4999999,-4.250000081,2017-12-22,0.102520391,-1.316808701,
2017-12-18,324.15,318.5000001,-5.649999903,2017-12-25,0.898924589,-1.743020177,
2017-12-19,323.85,317.4499999,-6.40000009,2017-12-26,0.881873131,-1.976223588,
2017-12-20,323.55,321.2,-2.349999966,2017-12-27,1.080240011,-0.726317406,
2017-12-21,316.85,325.6500001,8.800000074,2017-12-28,2.243331671,2.777339458,
2017-12-22,318.5,325.6499996,7.149999628,2017-12-29,2.409841061,2.244897842,
2017-12-25,318.5,325.6499996,7.149999628,2018-01-01,2.089831352,2.244897842,
2017-12-26,317.45,326.5000002,9.050000197,2018-01-02,1.52667141,2.850842714,
2017-12-27,321.2,327.7000003,6.500000337,2018-01-03,1.817692995,2.023661375,
2017-12-28,325.65,325,-0.650000008,2018-01-04,0.693806052,-0.199600801,
2017-12-29,325.65,328.9499999,3.299999929,2018-01-05,0.520520747,1.013357878,
