date,index1,index2,loss_profits,pred_date,prediction,real,0.568627451,4.111034491,-5.174299069
2017-07-10,310.8,317.5,6.699999976,2017-07-17,0.67318058,2.155727148,,,
2017-07-11,312.7,318.0500002,5.35000017,2017-07-18,0.470814675,1.710905075,,,
2017-07-12,312.6,318.7000001,6.100000137,2017-07-19,0.68857199,1.951375604,,,
2017-07-13,316.55,319.6000001,3.050000077,2017-07-20,0.644054413,0.963512897,,,
2017-07-14,316.7,321.0999999,4.399999898,2017-07-21,1.036396861,1.389327407,,,
2017-07-17,317.5,321.2500001,-3.750000104,2017-07-24,-1.302543879,1.181102395,,,
2017-07-18,318.05,319.6499999,-1.599999907,2017-07-25,-0.075691342,0.503065526,,,
2017-07-19,318.7,318.95,-0.249999996,2017-07-26,-0.4319368,0.078443676,,,
2017-07-20,319.6,319.85,0.250000009,2017-07-27,1.048949718,0.078222781,,,
2017-07-21,321.1,312.5500001,8.549999932,2017-07-28,-0.892479479,-2.662721872,,,
2017-07-24,321.25,313.5500003,7.699999693,2017-07-31,-0.246816948,-2.396887064,,,
2017-07-25,319.65,316.55,-3.09999998,2017-08-01,0.63127923,-0.969810724,,,
2017-07-26,318.95,317.1499999,-1.800000057,2017-08-02,0.309985071,-0.564351797,,,
2017-07-27,319.85,311.6500003,-8.199999662,2017-08-03,1.97308898,-2.56370163,,,
2017-07-28,312.55,312.85,0.300000009,2017-08-04,0.912727594,0.095984645,,,
2017-07-31,313.55,312.9,0.650000013,2017-08-07,-0.095933549,-0.207303464,,,
2017-08-01,316.55,312.8499998,3.700000161,2017-08-08,-0.891374409,-1.168851733,,,
2017-08-02,317.15,308.6500002,8.499999796,2017-08-09,-0.024288371,-2.680119753,,,
2017-08-03,311.65,307.25,-4.399999985,2017-08-10,0.651763558,-1.4118402,,,
2017-08-04,312.85,301.5000003,-11.34999966,2017-08-11,1.333308697,-3.627936602,,,
2017-08-07,312.9,304.6000003,-8.299999731,2017-08-14,0.489359826,-2.65260458,,,
2017-08-08,312.85,304.5999998,-8.250000212,2017-08-15,1.344882727,-2.637046576,,,
2017-08-09,308.65,306.25,-2.400000005,2017-08-16,1.416162729,-0.777579784,,,
2017-08-10,307.25,307.9,0.650000003,2017-08-17,0.607046485,0.21155411,,,
2017-08-11,301.5,307.75,6.249999976,2017-08-18,1.874360561,2.072968483,,,
2017-08-14,304.6,307.05,2.450000047,2017-08-21,2.245779753,0.804333568,,,
2017-08-15,304.6,308.7000001,4.100000108,2017-08-22,1.989471078,1.346027613,,,
2017-08-16,306.25,308.5999999,2.349999938,2017-08-23,3.1248703,0.767346919,,,
2017-08-17,307.9,310.1,2.200000037,2017-08-24,1.927638769,0.714517713,,,
2017-08-18,307.75,310.2500001,2.500000078,2017-08-25,0.799088001,0.81234771,,,
2017-08-21,307.05,308.2,1.15,2017-08-28,1.808448553,0.374531835,,,
2017-08-22,308.7,307.15,-1.549999968,2017-08-29,1.60638237,-0.502105594,,,
2017-08-23,308.6,309,0.400000011,2017-08-30,0.299463868,0.129617631,,,
2017-08-24,310.1,306.6500001,-3.449999869,2017-08-31,0.960488915,-1.112544298,,,
2017-08-25,310.25,306.3000001,3.949999922,2017-09-01,-0.390080452,-1.273166776,,,
2017-08-28,308.2,303.5,4.69999996,2017-09-04,-0.297294289,-1.524983764,,,
2017-08-29,307.15,302.6999999,4.450000086,2017-09-05,-2.158965826,-1.448803544,,,
2017-08-30,309,302.2999997,6.700000319,2017-09-06,-0.796194911,-2.168284893,,,
