date,index1,index2,loss_profits,pred_date,prediction,real,0.519685039,4.109848485,-5.060416667
2017-07-10,310.8,317.5,6.7,2017-07-17,0.89551276,2.155727156,,,
2017-07-11,312.7,318.05,5.35,2017-07-18,0.767168224,1.710905021,,,
2017-07-12,312.6,318.7,6.1,2017-07-19,0.859131157,1.95137556,,,
2017-07-13,316.55,319.6,3.05,2017-07-20,0.759575725,0.963512873,,,
2017-07-14,316.7,321.1,4.4,2017-07-21,0.85370934,1.389327439,,,
2017-07-17,317.5,321.25,3.75,2017-07-24,0.656473935,1.181102362,,,
2017-07-18,318.05,319.65,1.6,2017-07-25,0.526213646,0.503065556,,,
2017-07-19,318.7,318.95,0.25,2017-07-26,0.858209014,0.078443677,,,
2017-07-20,319.6,319.85,0.25,2017-07-27,1.168830633,0.078222778,,,
2017-07-21,321.1,312.55,-8.55,2017-07-28,0.795431972,-2.662721893,,,
2017-07-24,321.25,313.55,-7.7,2017-07-31,1.041799784,-2.39688716,,,
2017-07-25,319.65,316.55,-3.1,2017-08-01,0.870844722,-0.96981073,,,
2017-07-26,318.95,317.15,-1.8,2017-08-02,0.472311437,-0.564351779,,,
2017-07-27,319.85,311.65,-8.2,2017-08-03,0.687090874,-2.563701735,,,
2017-07-28,312.55,312.85,-0.3,2017-08-04,-0.411552072,0.095984642,,,
2017-07-31,313.55,312.9,0.65,2017-08-07,-0.61995393,-0.20730346,,,
2017-08-01,316.55,312.85,3.7,2017-08-08,-0.187992826,-1.168851682,,,
2017-08-02,317.15,308.65,8.5,2017-08-09,-0.049782753,-2.680119817,,,
2017-08-03,311.65,307.25,4.4,2017-08-10,-0.436553419,-1.411840205,,,
2017-08-04,312.85,301.5,-11.35,2017-08-11,0.148543179,-3.627936711,,,
2017-08-07,312.9,304.6,8.3,2017-08-14,-0.473994195,-2.652604666,,,
2017-08-08,312.85,304.6,8.25,2017-08-15,-0.35041976,-2.637046508,,,
2017-08-09,308.65,306.25,2.4,2017-08-16,-0.440652847,-0.777579783,,,
2017-08-10,307.25,307.9,-0.65,2017-08-17,-0.306964993,0.211554109,,,
2017-08-11,301.5,307.75,6.25,2017-08-18,0.001666158,2.072968491,,,
2017-08-14,304.6,307.05,2.45,2017-08-21,1.302212477,0.804333552,,,
2017-08-15,304.6,308.7,4.1,2017-08-22,1.387651205,1.346027577,,,
2017-08-16,306.25,308.6,2.35,2017-08-23,0.714520574,0.767346939,,,
2017-08-17,307.9,310.1,2.2,2017-08-24,0.676047027,0.714517701,,,
2017-08-18,307.75,310.25,2.5,2017-08-25,0.184359342,0.812347685,,,
2017-08-21,307.05,308.2,1.15,2017-08-28,0.20320645,0.374531835,,,
2017-08-22,308.7,307.15,-1.55,2017-08-29,0.593067229,-0.502105604,,,
2017-08-23,308.6,309,0.4,2017-08-30,0.231095672,0.129617628,,,
2017-08-24,310.1,306.65,-3.45,2017-08-31,0.678840935,-1.112544341,,,
2017-08-25,310.25,306.3,-3.95,2017-09-01,0.289477378,-1.273166801,,,
2017-08-28,308.2,303.5,4.7,2017-09-04,-0.01149765,-1.524983777,,,
2017-08-29,307.15,302.7,4.45,2017-09-05,-0.921983659,-1.448803516,,,
2017-08-30,309,302.3,-6.7,2017-09-06,0.491958439,-2.16828479,,,
2017-08-31,306.65,306.2,-0.45,2017-09-07,0.601263344,-0.146747106,,,
2017-09-01,306.3,306.25,-0.05,2017-09-08,0.515744269,-0.016323865,,,
2017-09-04,303.5,309.25,-5.75,2017-09-11,-0.215316638,1.894563427,,,
2017-09-05,302.7,309.2,-6.5,2017-09-12,-1.010093451,2.147340601,,,
