date,index1,index2,loss_profits,pred_date,prediction,real,0.562992126,4.074825184,-5.20229358
2017-08-15,304.6,308.7000001,4.100000108,2017-08-22,2.047251701,1.346027613,,,
2017-08-16,306.25,308.5999999,2.349999938,2017-08-23,3.167566299,0.767346919,,,
2017-08-17,307.9,310.1,2.200000037,2017-08-24,1.992449641,0.714517713,,,
2017-08-18,307.75,310.2500001,2.500000078,2017-08-25,0.785330713,0.81234771,,,
2017-08-21,307.05,308.2,1.15,2017-08-28,1.808759689,0.374531835,,,
2017-08-22,308.7,307.15,-1.549999968,2017-08-29,1.648537636,-0.502105594,,,
2017-08-23,308.6,309,0.400000011,2017-08-30,0.304999024,0.129617631,,,
2017-08-24,310.1,306.6500001,-3.449999869,2017-08-31,0.932695568,-1.112544298,,,
2017-08-25,310.25,306.3000001,3.949999922,2017-09-01,-0.511610508,-1.273166776,,,
2017-08-28,308.2,303.5,4.69999996,2017-09-04,-0.375215292,-1.524983764,,,
2017-08-29,307.15,302.6999999,4.450000086,2017-09-05,-2.180646896,-1.448803544,,,
2017-08-30,309,302.2999997,6.700000319,2017-09-06,-0.822319806,-2.168284893,,,
2017-08-31,306.65,306.2,-0.45000002,2017-09-07,0.342329353,-0.146747112,,,
2017-09-01,306.3,306.25,-0.049999997,2017-09-08,0.657009304,-0.016323864,,,
2017-09-04,303.5,309.25,5.75000003,2017-09-11,0.186097711,1.894563437,,,
2017-09-05,302.7,309.1999998,6.499999803,2017-09-12,0.42495364,2.147340536,,,
2017-09-06,302.3,308.5500002,6.250000232,2017-09-13,2.221579552,2.06748271,,,
2017-09-07,306.2,310.2500002,-4.050000157,2017-09-14,-1.303091764,1.322664976,,,
2017-09-08,306.25,311.2000001,4.950000122,2017-09-15,2.060987949,1.616326571,,,
2017-09-11,309.25,316.7000004,7.450000359,2017-09-18,0.040557835,2.409054279,,,
2017-09-12,309.2,316.0499998,-6.849999784,2017-09-19,-1.105893612,2.215394497,,,
2017-09-13,308.55,315.8,-7.250000006,2017-09-20,-0.421375304,2.349700212,,,
2017-09-14,310.25,316.05,5.799999979,2017-09-21,0.781459033,1.869460106,,,
2017-09-15,311.2,313.7499999,-2.54999992,2017-09-22,-1.793807983,0.819408715,,,
2017-09-18,316.7,313.7999999,2.900000061,2017-09-25,-1.36257863,-0.915693104,,,
2017-09-19,316.05,311.8,-4.250000012,2017-09-26,0.758642495,-1.34472394,,,
2017-09-20,315.8,311.3999998,-4.400000167,2017-09-27,0.000816931,-1.393286943,,,
2017-09-21,316.05,311.5999998,-4.450000177,2017-09-28,1.102033138,-1.408005118,,,
2017-09-22,313.75,314.3,-0.550000016,2017-09-29,-0.337681741,0.17529881,,,
2017-09-25,313.8,314.3,0.500000017,2017-10-02,1.47328186,0.159337163,,,
2017-09-26,311.8,314.3,2.499999987,2017-10-03,2.073626995,0.801796019,,,
2017-09-27,311.4,314.3,2.900000033,2017-10-04,2.371099472,0.93127811,,,
2017-09-28,311.6,314.2999999,2.699999947,2017-10-05,2.725362062,0.86649549,,,
2017-09-29,314.3,314.3,0,2017-10-06,1.515054107,0,,,
2017-10-02,314.3,314.3,0,2017-10-09,-0.307875484,0,,,
2017-10-03,314.3,320.1499999,-5.849999931,2017-10-10,-0.31969744,1.861279011,,,
2017-10-04,314.3,323.25,8.950000003,2017-10-11,0.092866808,2.847597837,,,
2017-10-05,314.3,325.6499996,11.34999965,2017-10-12,0.29175511,3.611199379,,,
2017-10-06,314.3,325.3000002,11.00000018,2017-10-13,0.585914075,3.499840975,,,
