date,index1,index2,loss_profits,pred_date,prediction,real,accuracy
2017-07-10,311.95,314.05,2.100000021,2017-08-07,1.264802575,0.673184812,0.53038674
2017-07-11,313.85,314,0.150000005,2017-08-08,1.018906355,0.047793534,
2017-07-12,313.75,309.7999999,-3.950000118,2017-08-09,0.391971886,-1.258964181,
2017-07-13,317.7,308.3999998,9.300000212,2017-08-10,-0.147180974,-2.927289963,
2017-07-14,317.85,302.6500005,15.19999946,2017-08-11,-0.28521204,-4.782129765,
2017-07-17,318.65,305.75,-12.89999996,2017-08-14,0.067835093,-4.048328876,
2017-07-18,319.2,307.4000001,11.79999989,2017-08-16,-0.763625264,-3.696741819,
2017-07-19,319.85,309.0499997,-10.80000028,2017-08-17,0.011863466,-3.376582861,
2017-07-20,320.75,308.8999999,11.85000006,2017-08-18,-0.152744532,-3.694466114,
2017-07-21,322.25,308.1999994,-14.05000055,2017-08-21,0.329997659,-4.359969139,
2017-07-24,322.4,309.8499999,-12.55000009,2017-08-22,0.533361316,-3.89267993,
2017-07-25,320.8,309.7499997,11.05000026,2017-08-23,-1.15046823,-3.444513798,
2017-07-26,320.1,311.2500001,-8.849999868,2017-08-24,0.930929184,-2.764760971,
2017-07-27,321,311.3999999,-9.600000079,2017-08-25,0.988653779,-2.99065423,
2017-07-28,313.7,309.3500002,-4.34999985,2017-08-28,3.057127237,-1.386675119,
2017-07-31,314.7,308.3000002,-6.399999845,2017-08-29,1.673010945,-2.033682823,
2017-08-01,317.7,310.15,-7.550000025,2017-08-30,0.546171546,-2.376455784,
2017-08-02,318.3,307.8000001,-10.49999993,2017-08-31,0.39263618,-3.298774719,
2017-08-03,312.8,307.4500001,-5.349999898,2017-09-01,1.750081301,-1.710358024,
2017-08-04,314,304.6500003,-9.349999695,2017-09-04,2.737633944,-2.977706909,
2017-08-07,314.05,303.85,-10.20000003,2017-09-05,2.790030241,-3.247890472,
2017-08-08,314,303.4500001,-10.5499999,2017-09-06,3.830963135,-3.35987258,
2017-08-09,309.8,307.3499999,-2.450000069,2017-09-07,4.352720261,-0.790832818,
2017-08-10,308.4,307.4,-0.999999998,2017-09-08,4.307495594,-0.324254215,
2017-08-11,302.65,310.4000002,7.750000219,2017-09-11,4.560443401,2.560713768,
2017-08-14,305.75,310.3500001,4.600000099,2017-09-12,4.596848965,1.50449717,
2017-08-16,307.4,309.7,2.299999962,2017-09-13,3.884919882,0.748210788,
2017-08-17,309.05,311.4,2.349999981,2017-09-14,4.147902012,0.760394752,
2017-08-18,308.9,312.3500002,3.450000156,2017-09-15,5.35197401,1.11686635,
2017-08-21,308.2,317.85,9.650000046,2017-09-18,6.153339863,3.131083727,
2017-08-22,309.85,317.2000002,7.350000224,2017-09-19,5.559171677,2.372115612,
2017-08-23,309.75,316.9500002,7.200000172,2017-09-20,4.663723469,2.324455261,
2017-08-24,311.25,317.2000001,5.950000057,2017-09-21,3.499037981,1.911646605,
2017-08-25,311.4,314.9,3.499999989,2017-09-22,2.112066031,1.123956323,
2017-08-28,309.35,314.95,5.600000029,2017-09-25,2.098904371,1.810247302,
2017-08-29,308.3,312.9500002,4.650000163,2017-09-26,1.820160508,1.508271217,
2017-08-30,310.15,312.5500001,2.400000089,2017-09-27,0.614895642,0.773819149,
2017-08-31,307.8,312.7499998,4.94999983,2017-09-28,0.72222954,1.608187079,
2017-09-01,307.45,315.45,7.999999996,2017-09-29,0.033328649,2.602049112,
2017-09-04,304.65,321.3000004,16.65000039,2017-10-10,1.920942187,5.465288162,
2017-09-05,303.85,324.4,20.55,2017-10-11,2.154012918,6.763205528,
2017-09-06,303.45,326.8000005,23.35000052,2017-10-12,3.013590574,7.694842815,
2017-09-07,307.35,326.4500003,19.10000033,2017-10-13,2.728328466,6.214413643,
2017-09-08,307.4,326.6499995,19.2499995,2017-10-16,2.912897825,6.262198925,
2017-09-11,310.4,326.9500004,16.5500004,2017-10-17,1.604243755,5.331830025,
2017-09-12,310.35,327.0000001,16.65000006,2017-10-18,1.554863214,5.364910603,
2017-09-13,309.7,325.2499998,15.5499998,2017-10-19,1.361641288,5.020987988,
2017-09-14,311.4,327.3999993,15.99999931,2017-10-20,0.607789934,5.138085842,
2017-09-15,312.35,328.1999999,15.84999994,2017-10-23,0.784016788,5.074435711,
2017-09-18,317.85,327.7000002,9.850000161,2017-10-24,1.714482546,3.098946095,
2017-09-19,317.2,327.8999997,10.69999969,2017-10-25,0.587172985,3.373265982,
2017-09-20,316.95,324.8999996,-7.949999628,2017-10-26,-0.721824765,2.508281946,
2017-09-21,317.2,327.9999997,-10.79999969,2017-10-27,-0.594178736,3.404791832,
2017-09-22,314.9,328.5999996,13.69999962,2017-10-30,1.005127549,4.350587368,
2017-09-25,314.95,332.2,17.24999997,2017-10-31,0.004564639,5.477059841,
2017-09-26,312.95,337.7000005,-24.75000055,2017-11-01,-0.306662321,7.908611774,
2017-09-27,312.55,336.1999995,23.64999949,2017-11-02,0.581972837,7.56678915,
2017-09-28,312.75,337.5000001,24.75000014,2017-11-03,0.372803569,7.913669109,
2017-09-29,315.45,335.2999997,-19.84999967,2017-11-06,-0.726541996,6.292597771,
2017-10-10,321.3,334.9000002,-13.60000021,2017-11-07,-2.282951355,4.232804298,
2017-10-11,324.4,336.4000003,-12.00000034,2017-11-08,-2.518508434,3.699136972,
2017-10-12,326.8,334.8,-7.99999996,2017-11-09,-1.924449563,2.447980404,
2017-10-13,326.45,334.0499998,-7.599999838,2017-11-10,-2.547477484,2.328074694,
2017-10-16,326.65,332.7,-6.04999996,2017-11-13,-2.803630114,1.852135301,
2017-10-17,326.95,332.4499999,-5.499999913,2017-11-14,-0.537961185,1.682214379,
2017-10-18,327,330.3000001,-3.300000114,2017-11-15,-0.686296701,1.009174347,
