date_base,date_pred,index_pred,index_real,index_today,loss_profits,prediction,real,std
2017-03-31,2017-06-30,301.823341,311.5500008,281.6,29.95000076,20.22334099,29.95000076,11.90461505
2017-04-03,2017-07-03,303.3272232,311.9499992,281.9,30.04999924,21.42722321,30.04999924,11.91659305
2017-04-04,2017-07-04,303.2916389,309.6499992,281.35,28.29999924,21.94163895,28.29999924,11.85819215
2017-04-05,2017-07-05,300.099527,311.1,280.85,30.25,19.24952698,30.25,11.79643377
2017-04-06,2017-07-06,296.7735371,311.1000008,279.9,31.20000076,16.87353706,31.20000076,11.69295086
2017-04-07,2017-07-07,294.6212168,310.25,279.25,31,15.37121677,31,11.53775799
2017-04-10,2017-07-10,293.6473965,310.8000015,277.65,33.15000153,15.99739647,33.15000153,11.32296408
2017-04-11,2017-07-11,289.7998356,312.6999992,275.9,36.79999924,13.89983559,36.79999924,11.05558579
2017-04-12,2017-07-12,290.0453808,312.6000015,276.95,35.65000153,13.09538078,35.65000153,10.78599686
2017-04-13,2017-07-13,287.4025692,316.5500015,279.15,37.40000153,8.252569199,37.40000153,10.63473525
2017-04-14,2017-07-14,289.7580006,316.7,277.7,39,12.05800056,39,10.4024231
2017-04-17,2017-07-17,288.7945847,317.4999985,278.65,38.84999847,10.14458466,38.84999847,10.18220426
2017-04-18,2017-07-18,286.9687954,318.0500008,278.35,39.70000076,8.618795395,39.70000076,9.922219263
2017-04-19,2017-07-19,289.2192589,318.6999985,276.85,41.84999847,12.36925888,41.84999847,9.568923622
2017-04-20,2017-07-20,287.0828953,319.5999985,278.25,41.34999847,8.832895279,41.34999847,9.242264372
2017-04-21,2017-07-21,285.5236966,321.1000015,280.7,40.40000153,4.823696613,40.40000153,9.006403104
2017-04-24,2017-07-24,290.9734322,321.2500015,281.85,39.40000153,9.123432159,39.40000153,8.772810035
2017-04-25,2017-07-25,295.1094152,319.6500008,285.2,34.45000076,9.909415245,34.45000076,8.582615549
2017-04-26,2017-07-26,293.9911029,318.95,286.45,32.5,7.541102886,32.5,8.38471688
2017-04-27,2017-07-27,301.0723873,319.85,287.35,32.5,13.72238731,32.5,8.206821228
2017-04-28,2017-07-28,296.0559261,312.55,287.8,24.75,8.255926132,24.75,7.881278633
2017-05-01,2017-07-31,301.801996,313.55,287.8,25.75,14.00199604,25.75,7.533613617
2017-05-02,2017-08-01,303.613673,316.55,290.05,26.5,13.56367302,26.5,7.285671363
