date_base,date_pred,index_pred,index_real,index_today,loss_profits,prediction,real
2017-05-18,2017-05-25,298.4489180386066,305.49999990463255,298.65,-6.849999904632568,-0.20108196139335632,6.849999904632568
2017-05-19,2017-05-26,296.5382071733475,307.3500003814697,298.25,-9.100000381469727,-1.7117928266525269,9.100000381469727
2017-05-22,2017-05-29,297.5665179252625,306.79999980926516,300.6,-6.199999809265137,-3.033482074737549,6.199999809265137
2017-05-23,2017-05-30,297.50823454856874,304.3499999523163,301.05,-3.299999952316284,-3.5417654514312744,3.299999952316284
2017-05-24,2017-05-31,297.8728593826294,305.0500000953674,301.9,-3.1500000953674316,-4.0271406173706055,3.1500000953674316
2017-05-25,2017-06-01,302.543053150177,304.14999997615814,305.5,1.350000023841858,-2.956946849822998,-1.350000023841858
2017-05-26,2017-06-02,307.73119795918467,307.7500000059605,307.35,0.4000000059604645,0.3811979591846466,0.4000000059604645
2017-05-29,2017-06-05,306.383769351244,307.60000001192094,306.8,-0.800000011920929,-0.4162306487560272,0.800000011920929
2017-05-30,2017-06-06,304.3891917973757,307.6,304.35,3.25,0.039191797375679016,3.25
2017-05-31,2017-06-07,305.54967405200006,305.39999999403955,305.05,0.3499999940395355,0.4996740520000458,0.3499999940395355
2017-06-01,2017-06-08,304.80532040596006,306.65,304.15,2.5,0.655320405960083,2.5
2017-06-02,2017-06-09,307.6410741135478,308.55000001192093,307.75,-0.800000011920929,-0.10892588645219803,0.800000011920929
2017-06-05,2017-06-12,307.64483961313965,305.30000004768374,307.6,-2.299999952316284,0.044839613139629364,-2.299999952316284
2017-06-06,2017-06-13,307.1791937708855,307.0499999880791,307.6,0.550000011920929,-0.42080622911453247,-0.550000011920929
2017-06-07,2017-06-14,306.0807174682617,307.4,305.4,2.0,0.6807174682617188,2.0
2017-06-08,2017-06-15,309.6407872676849,305.65,306.65,-1.0,2.9907872676849365,-1.0
2017-06-09,2017-06-16,310.06214253902436,306.0000000476837,308.55,-2.549999952316284,1.512142539024353,-2.549999952316284
2017-06-12,2017-06-19,307.49970703125,307.8,305.3,2.5,2.19970703125,2.5
2017-06-13,2017-06-20,309.39538459777833,308.0999999523163,307.05,1.0499999523162842,2.3453845977783203,1.0499999523162842
2017-06-14,2017-06-21,309.1219352722168,306.7999999761581,307.4,-0.6000000238418579,1.7219352722167969,-0.6000000238418579
2017-06-15,2017-06-22,309.16222658157346,308.5500000953674,305.65,2.9000000953674316,3.5122265815734863,2.9000000953674316
2017-06-16,2017-06-23,309.36034202575684,309.25,306.0,3.25,3.360342025756836,3.25
2017-06-19,2017-06-26,309.7917815923691,310.55,307.8,2.75,1.9917815923690796,2.75
2017-06-20,2017-06-27,309.4029494285584,311.1,308.1,3.0,1.3029494285583496,3.0
2017-06-21,2017-06-28,309.4115162372589,310.2500000476837,306.8,3.450000047683716,2.611516237258911,3.450000047683716
2017-06-22,2017-06-29,310.37638800144197,312.3499999523163,308.55,3.799999952316284,1.8263880014419556,3.799999952316284
2017-06-23,2017-06-30,309.19113629311323,311.5499999523163,309.25,-2.299999952316284,-0.05886370688676834,2.299999952316284
2017-06-26,2017-07-03,309.0981646060944,311.94999997615815,310.55,-1.399999976158142,-1.4518353939056396,1.399999976158142
2017-06-27,2017-07-04,311.0259002655745,309.6499999523163,311.1,1.4500000476837158,-0.07409973442554474,-1.4500000476837158
2017-06-28,2017-07-05,311.4741815328598,311.10000002384186,310.25,0.8500000238418579,1.2241815328598022,0.8500000238418579
2017-06-29,2017-07-06,312.4004390373826,311.1,312.35,-1.25,0.05043903738260269,-1.25
2017-06-30,2017-07-07,311.1374859392643,310.2500000476837,311.55,1.2999999523162842,-0.4125140607357025,-1.2999999523162842
2017-07-03,2017-07-10,310.0349906206131,310.80000002384185,311.95,1.149999976158142,-1.9150093793869019,-1.149999976158142
2017-07-04,2017-07-11,309.05015923976896,312.69999995231626,309.65,-3.049999952316284,-0.5998407602310181,3.049999952316284
2017-07-05,2017-07-12,310.6370522737503,312.6,311.1,-1.5,-0.4629477262496948,1.5
2017-07-06,2017-07-13,309.73218128681185,316.54999980926516,311.1,-5.449999809265137,-1.3678187131881714,5.449999809265137
2017-07-07,2017-07-14,309.6454055905342,316.69999980926514,310.25,-6.449999809265137,-0.6045944094657898,6.449999809265137
2017-07-10,2017-07-17,310.5313032448292,317.49999980926515,310.8,-6.699999809265137,-0.26869675517082214,6.699999809265137
2017-07-11,2017-07-18,311.62978370189666,318.04999990463256,312.7,-5.349999904632568,-1.0702162981033325,5.349999904632568
2017-07-12,2017-07-19,311.9709911108017,318.6999999046326,312.6,-6.099999904632568,-0.6290088891983032,6.099999904632568
2017-07-13,2017-07-20,314.1188018798828,319.5999999523163,316.55,-3.049999952316284,-2.4311981201171875,3.049999952316284
2017-07-14,2017-07-21,315.5606003522873,321.1000000953674,316.7,-4.400000095367432,-1.1393996477127075,4.400000095367432
2017-07-17,2017-07-24,315.0280342102051,321.25,317.5,-3.75,-2.471965789794922,3.75
2017-07-18,2017-07-25,315.302028465271,319.65000002384187,318.05,-1.600000023841858,-2.747971534729004,1.600000023841858
2017-07-19,2017-07-26,316.45599884986876,318.95,318.7,-0.25,-2.2440011501312256,0.25
2017-07-20,2017-07-27,318.9686408996582,319.85,319.6,-0.25,-0.6313591003417969,0.25
2017-07-21,2017-07-28,317.94976530075076,312.54999980926516,321.1,8.550000190734863,-3.1502346992492676,-8.550000190734863
2017-07-24,2017-07-31,318.70404267311096,313.55000019073486,321.25,7.699999809265137,-2.545957326889038,-7.699999809265137
2017-07-25,2017-08-01,320.9377012491226,316.5500000953674,319.65,-3.0999999046325684,1.2877012491226196,-3.0999999046325684
2017-07-26,2017-08-02,317.65140182971953,317.1500000476837,318.95,1.7999999523162842,-1.2985981702804565,-1.7999999523162842
2017-07-27,2017-08-03,320.7216027736664,311.6500001907349,319.85,-8.199999809265137,0.8716027736663818,-8.199999809265137
2017-07-28,2017-08-04,315.80471353530885,312.85000001192094,312.55,0.30000001192092896,3.254713535308838,0.30000001192092896
2017-07-31,2017-08-07,312.84347121715547,312.90000002384187,313.55,0.6499999761581421,-0.7065287828445435,-0.6499999761581421
2017-08-01,2017-08-08,315.8845671892166,312.8499999523163,316.55,3.700000047683716,-0.6654328107833862,-3.700000047683716
2017-08-02,2017-08-09,315.18779995441434,308.65,317.15,8.5,-1.9622000455856323,-8.5
2017-08-03,2017-08-10,315.74327697753904,307.24999990463255,311.65,-4.400000095367432,4.0932769775390625,-4.400000095367432
2017-08-04,2017-08-11,313.5766778945923,301.4999996185303,312.85,-11.350000381469727,0.7266778945922852,-11.350000381469727
2017-08-07,2017-08-14,313.7690598607063,304.5999998092651,312.9,-8.300000190734863,0.8690598607063293,-8.300000190734863
2017-08-08,2017-08-15,314.86467561721804,304.6,312.85,-8.25,2.0146756172180176,-8.25
2017-08-09,2017-08-16,311.21275129318235,306.24999990463255,308.65,-2.4000000953674316,2.562751293182373,-2.4000000953674316
2017-08-10,2017-08-17,309.14238941669464,307.89999997615814,307.25,0.6499999761581421,1.8923894166946411,0.6499999761581421
2017-08-11,2017-08-18,305.47123098373413,307.75,301.5,6.25,3.971230983734131,6.25
2017-08-14,2017-08-21,306.7528868675232,307.05000004768374,304.6,2.450000047683716,2.1528868675231934,2.450000047683716
2017-08-15,2017-08-22,307.6394315719605,308.6999999046326,304.6,4.099999904632568,3.039431571960449,4.099999904632568
2017-08-16,2017-08-23,310.97911977767944,308.59999990463257,306.25,2.3499999046325684,4.729119777679443,2.3499999046325684
