date_base,date_pred,index_pred,index_real,index_today,loss_profits,prediction,real,std
2017-07-11,2017-08-15,311.9139657139778,304.59999961853026,312.7,8.100000381469727,-0.7860342860221863,-8.100000381469727,5.7148547579999995
2017-07-12,2017-08-16,315.04332504272463,306.25000009536745,312.6,-6.349999904632568,2.4433250427246094,-6.349999904632568,5.5839999360000006
2017-07-13,2017-08-17,314.9267706155777,307.90000038146974,316.55,8.649999618530273,-1.6232293844223022,-8.649999618530273,5.406939763
2017-07-14,2017-08-18,317.8208176612854,307.75000019073485,316.7,-8.949999809265137,1.1208176612854004,-8.949999809265137,5.206907395
2017-07-17,2017-08-21,319.8821678161621,307.05000019073486,317.5,-10.449999809265137,2.3821678161621094,-10.449999809265137,5.080547366
2017-07-18,2017-08-22,318.9326632499695,308.6999996185303,318.05,-9.350000381469727,0.8826632499694824,-9.350000381469727,4.949270537
2017-07-19,2017-08-23,320.0759500980377,308.59999961853026,318.7,-10.100000381469727,1.3759500980377197,-10.100000381469727,4.83709723
2017-07-20,2017-08-24,320.5123984575272,310.1,319.6,-9.5,0.9123984575271606,-9.5,4.795610974
2017-07-21,2017-08-25,320.1841725468636,310.2499996185303,321.1,10.850000381469727,-0.9158274531364441,-10.850000381469727,4.77821554
2017-07-24,2017-08-28,321.57064485549927,308.19999980926514,321.25,-13.050000190734863,0.3206448554992676,-13.050000190734863,4.763677424
2017-07-25,2017-08-29,324.3250726699829,307.15,319.65,-12.5,4.67507266998291,-12.5,4.717968668999999
2017-07-26,2017-08-30,321.5198561668396,309.00000019073485,318.95,-9.949999809265137,2.5698561668395996,-9.949999809265137,4.668919198999999
2017-07-27,2017-08-31,321.6999964475632,306.6500001907349,319.85,-13.199999809265137,1.8499964475631714,-13.199999809265137,4.62348039
2017-07-28,2017-09-01,315.935888338089,306.3,312.55,-6.25,3.3858883380889893,-6.25,4.642003955
2017-07-31,2017-09-04,313.94978551864625,303.49999980926515,313.55,-10.050000190734863,0.39978551864624023,-10.050000190734863,4.713492678
2017-08-01,2017-09-05,317.8095419883728,302.6999996185303,316.55,-13.850000381469727,1.2595419883728027,-13.850000381469727,4.8028090489999995
2017-08-02,2017-09-06,318.24168410301206,302.29999961853025,317.15,-14.850000381469727,1.091684103012085,-14.850000381469727,4.870798855
2017-08-03,2017-09-07,317.5940445899963,306.20000019073484,311.65,-5.449999809265137,5.944044589996338,-5.449999809265137,4.87683915
2017-08-04,2017-09-08,316.0587099552155,306.25000009536745,312.85,-6.599999904632568,3.208709955215454,-6.599999904632568,4.9002955660000005
2017-08-07,2017-09-11,314.0603319644928,309.24999990463255,312.9,-3.6500000953674316,1.1603319644927979,-3.6500000953674316,4.858193045
2017-08-08,2017-09-12,316.253327703476,309.1999999046326,312.85,-3.6500000953674316,3.403327703475952,-3.6500000953674316,4.840698853
2017-08-09,2017-09-13,318.296556854248,308.54999999850986,308.65,-0.10000000149011612,9.646556854248047,-0.10000000149011612,4.830663152
2017-08-10,2017-09-14,317.8316898345947,310.25,307.25,3.0,10.581689834594727,3.0,4.789271238
2017-08-11,2017-09-15,315.01326847076416,311.19999980926514,301.5,9.699999809265137,13.51326847076416,9.699999809265137,4.751880573999999
2017-08-14,2017-09-18,317.99034271240237,316.70000038146975,304.6,12.100000381469727,13.390342712402344,12.100000381469727,4.791113444
2017-08-15,2017-09-19,318.6753870010376,316.04999980926516,304.6,11.449999809265137,14.075387001037598,11.449999809265137,4.81804164
2017-08-16,2017-09-20,323.1306896209717,315.80000019073486,306.25,9.550000190734863,16.88068962097168,9.550000190734863,4.822013947
2017-08-17,2017-09-21,321.8834594726562,316.04999961853025,307.9,8.149999618530273,13.98345947265625,8.149999618530273,4.846478822
2017-08-18,2017-09-22,319.379581451416,313.75,307.75,6.0,11.629581451416016,6.0,4.84817484
2017-08-21,2017-09-25,322.524666595459,313.8,307.05,6.75,15.474666595458984,6.75,4.855839194
2017-08-22,2017-09-26,322.77853507995604,311.79999990463256,308.7,3.0999999046325684,14.078535079956055,3.0999999046325684,4.855787213999999
2017-08-23,2017-09-27,322.31852016448977,311.3999999523163,308.6,2.799999952316284,13.718520164489746,2.799999952316284,4.853335738
2017-08-24,2017-09-28,318.0872856140137,311.6,310.1,1.5,7.987285614013672,1.5,4.852165456
2017-08-25,2017-09-29,316.610538482666,314.30000019073486,310.25,4.050000190734863,6.360538482666016,4.050000190734863,4.864717336
2017-08-28,2017-10-02,311.0996543884277,314.29999990463256,308.2,6.099999904632568,2.8996543884277344,6.099999904632568,4.876628548999999
2017-08-29,2017-10-03,308.72208466529844,314.3000000953674,307.15,7.150000095367432,1.572084665298462,7.150000095367432,4.8822296
2017-08-30,2017-10-04,313.5177721977234,314.30000019073486,309.0,5.300000190734863,4.517772197723389,5.300000190734863,4.89287674
2017-08-31,2017-10-05,311.440479183197,314.3000000953674,306.65,7.650000095367432,4.7904791831970215,7.650000095367432,4.902998739
2017-09-01,2017-10-06,310.50166015625,314.3,306.3,8.0,4.20166015625,8.0,4.909586629
2017-09-04,2017-10-09,311.21366930007935,314.30000019073486,303.5,10.800000190734863,7.713669300079346,10.800000190734863,4.917685656000001
2017-09-05,2017-10-10,308.01279802322387,320.15000076293944,302.7,17.450000762939453,5.312798023223877,17.450000762939453,5.023503413
2017-09-06,2017-10-11,310.2113998413086,323.25000076293946,302.3,20.950000762939453,7.911399841308594,20.950000762939453,5.214620603
2017-09-07,2017-10-12,306.98135561943053,325.65000076293944,306.2,19.450000762939453,0.781355619430542,19.450000762939453,5.451959444
2017-09-08,2017-10-13,317.68853187561035,325.29999923706055,306.25,19.049999237060547,11.438531875610352,19.049999237060547,5.661527233999999
2017-09-11,2017-10-16,311.6810646057129,325.5,309.25,16.25,2.4310646057128906,16.25,5.85768777
2017-09-12,2017-10-17,310.2858178138733,325.8000003814697,309.2,16.600000381469727,1.085817813873291,16.600000381469727,6.047734795
2017-09-13,2017-10-18,307.01660387516023,325.84999923706056,308.55,-17.299999237060547,-1.5333961248397827,17.299999237060547,6.222146878999999
2017-09-14,2017-10-19,308.35111832618713,324.1000003814697,310.25,-13.850000381469727,-1.8988816738128662,13.850000381469727,6.323733626
2017-09-15,2017-10-20,314.3313645839691,326.25000019073485,311.2,15.050000190734863,3.131364583969116,15.050000190734863,6.45987309
2017-09-18,2017-10-23,314.2442442893982,327.0500003814697,316.7,-10.350000381469727,-2.4557557106018066,10.350000381469727,6.6151943939999995
2017-09-19,2017-10-24,317.7425599575043,326.55,316.05,10.5,1.6925599575042725,10.5,6.7771174489999995
2017-09-20,2017-10-25,314.3259873867035,326.74999980926515,315.8,-10.949999809265137,-1.4740126132965088,10.949999809265137,6.949258659
2017-09-21,2017-10-26,321.1381848335266,323.74999980926515,316.05,7.699999809265137,5.088184833526611,7.699999809265137,7.023866166
2017-09-22,2017-10-27,318.7046127319336,326.8500003814697,313.75,13.100000381469727,4.954612731933594,13.100000381469727,7.221924668
2017-09-25,2017-10-30,313.04217504262925,327.4499996185303,313.8,-13.649999618530273,-0.7578249573707581,13.649999618530273,7.42644241
2017-09-26,2017-10-31,307.3602469444275,331.05,311.8,-19.25,-4.43975305557251,19.25,7.72486487
2017-09-27,2017-11-01,315.6357120513916,336.54999961853025,311.4,25.149999618530273,4.235712051391602,25.149999618530273,8.210599900000002
2017-09-28,2017-11-02,309.81109139919283,335.0500007629395,311.6,-23.450000762939453,-1.78890860080719,23.450000762939453,8.599430256
2017-09-29,2017-11-03,305.75503425598146,336.34999923706056,314.3,-22.049999237060547,-8.544965744018555,22.049999237060547,9.00929588
2017-10-02,2017-11-06,316.35052185058595,334.15000038146974,314.3,19.850000381469727,2.0505218505859375,19.850000381469727,9.314030076
2017-10-03,2017-11-07,312.9853300333023,333.75000076293946,314.3,-19.450000762939453,-1.3146699666976929,19.450000762939453,9.585625506
2017-10-04,2017-11-08,310.68700604438783,335.25000076293946,314.3,-20.950000762939453,-3.6129939556121826,20.950000762939453,9.848415531
2017-10-05,2017-11-09,310.4613955497742,333.65000038146974,314.3,-19.350000381469727,-3.83860445022583,19.350000381469727,10.0242763
2017-10-06,2017-11-10,314.43846504688264,332.90000038146974,314.3,18.600000381469727,0.1384650468826294,18.600000381469727,10.05074624
2017-10-09,2017-11-13,311.01861577034,331.55,314.3,-17.25,-3.281384229660034,17.25,10.09120797
2017-10-10,2017-11-14,316.1727720737457,331.29999961853025,320.15,-11.149999618530273,-3.9772279262542725,11.149999618530273,10.10896927
2017-10-11,2017-11-15,319.72825169563293,329.15000009536743,323.25,-5.900000095367432,-3.5217483043670654,5.900000095367432,10.10183318
2017-10-12,2017-11-16,319.56265249252317,331.3000000953674,325.65,-5.650000095367432,-6.087347507476807,5.650000095367432,10.150300300000001
2017-10-13,2017-11-17,322.62533049583436,330.95000009536744,325.3,-5.650000095367432,-2.6746695041656494,5.650000095367432,10.17647457
2017-10-16,2017-11-20,324.8684046268463,329.4500000476837,325.5,-3.950000047683716,-0.6315953731536865,3.950000047683716,10.15178745
2017-10-17,2017-11-21,323.73426752090455,330.8500001907349,325.8,-5.050000190734863,-2.065732479095459,5.050000190734863,10.16764092
2017-10-18,2017-11-22,323.69991955757143,332.54999980926516,325.85,-6.699999809265137,-2.150080442428589,6.699999809265137,10.20110659
2017-10-19,2017-11-23,321.2975874900818,331.4499999046326,324.1,-7.349999904632568,-2.802412509918213,7.349999904632568,10.22600498
2017-10-20,2017-11-24,325.2048361301422,332.25,326.25,-6.0,-1.045163869857788,6.0,10.25634302
2017-10-23,2017-11-27,324.31536893844606,325.90000002384187,327.05,1.149999976158142,-2.734631061553955,-1.149999976158142,10.15876327
2017-10-24,2017-11-28,322.1432483673096,327.69999997615815,326.55,-1.149999976158142,-4.40675163269043,1.149999976158142,10.04686405
2017-10-25,2017-11-29,324.3298649787903,327.69999998807907,326.75,-0.949999988079071,-2.420135021209717,0.949999988079071,9.962235604
2017-10-26,2017-11-30,322.71953999996185,322.25,323.75,1.5,-1.030460000038147,-1.5,9.787933297
2017-10-27,2017-12-01,322.3338471412659,321.85,326.85,5.0,-4.516152858734131,-5.0,9.59549411
2017-10-30,2017-12-04,323.56771297454833,324.9999999523163,327.45,2.450000047683716,-3.88228702545166,-2.450000047683716,9.318915446
2017-10-31,2017-12-05,327.8625021457672,326.6000001907349,331.05,4.449999809265137,-3.187497854232788,-4.449999809265137,9.003600375
2017-11-01,2017-12-06,330.9362690925598,321.65000038146974,336.55,14.899999618530273,-5.6137309074401855,-14.899999618530273,8.635312119
2017-11-02,2017-12-07,327.4860284805298,320.6999996185303,335.05,14.350000381469727,-7.563971519470215,-14.350000381469727,8.381588826
2017-11-03,2017-12-08,329.80485305786135,321.4000001907349,336.35,14.949999809265137,-6.545146942138672,-14.949999809265137,8.112302949
2017-11-06,2017-12-11,332.0811954975128,321.5000003814697,334.15,12.649999618530273,-2.0688045024871826,-12.649999618530273,7.920275451
2017-11-07,2017-12-12,328.5541458129883,320.44999980926514,333.75,13.300000190734863,-5.195854187011719,-13.300000190734863,7.723113256
2017-11-08,2017-12-13,330.27359533309937,322.8500003814697,335.25,12.399999618530273,-4.976404666900635,-12.399999618530273,7.485265334
2017-11-09,2017-12-14,327.27826538085935,324.29999961853025,333.65,9.350000381469727,-6.371734619140625,-9.350000381469727,7.28497969
2017-11-10,2017-12-15,325.7831181526184,322.7500003814697,332.9,10.149999618530273,-7.116881847381592,-10.149999618530273,7.1034980889999995
2017-11-13,2017-12-18,324.0907524108887,324.1499999046326,331.55,7.400000095367432,-7.459247589111328,-7.400000095367432,7.038789163
2017-11-14,2017-12-19,321.5757205963135,323.8500001907349,331.3,7.449999809265137,-9.724279403686523,-7.449999809265137,6.960032535
2017-11-15,2017-12-20,319.97328796386716,323.5500000953674,329.15,5.599999904632568,-9.176712036132812,-5.599999904632568,6.873939866000001
2017-11-16,2017-12-21,318.4545057296753,316.8500001907349,331.3,14.449999809265137,-12.845494270324707,-14.449999809265137,6.858996847
2017-11-17,2017-12-22,314.46706504821776,318.50000019073485,330.95,12.449999809265137,-16.482934951782227,-12.449999809265137,6.765560945
2017-11-20,2017-12-25,322.8602368354797,318.50000019073485,329.45,10.949999809265137,-6.589763164520264,-10.949999809265137,6.671295789
2017-11-21,2017-12-26,324.8431287765503,317.45000038146975,330.85,13.399999618530273,-6.006871223449707,-13.399999618530273,6.534540899
2017-11-22,2017-12-27,322.5239446640015,321.1999996185303,332.55,11.350000381469727,-10.026055335998535,-11.350000381469727,6.328058986
