date_base,date_pred,index_pred,index_real,index_today,loss_profits,prediction,real,std
2017-04-06,2017-07-06,291.3871826171875,311.10000076293943,279.9,31.200000762939453,11.4871826171875,31.200000762939453,11.69295086
2017-04-07,2017-07-07,293.0447120666504,310.25,279.25,31.0,13.79471206665039,31.0,11.53775799
2017-04-10,2017-07-10,296.0561279296875,310.8000015258789,277.65,33.150001525878906,18.4061279296875,33.150001525878906,11.32296408
2017-04-11,2017-07-11,292.49145355224607,312.6999992370605,275.9,36.79999923706055,16.591453552246094,36.79999923706055,11.05558579
2017-04-12,2017-07-12,291.5175525665283,312.6000015258789,276.95,35.650001525878906,14.56755256652832,35.650001525878906,10.78599686
2017-04-13,2017-07-13,288.9752258300781,316.5500015258789,279.15,37.400001525878906,9.825225830078125,37.400001525878906,10.63473525
2017-04-14,2017-07-14,286.3407241821289,316.7,277.7,39.0,8.640724182128906,39.0,10.4024231
2017-04-17,2017-07-17,282.5563572883606,317.49999847412107,278.65,38.849998474121094,3.9063572883605957,38.849998474121094,10.18220426
2017-04-18,2017-07-18,280.48298344612124,318.0500007629395,278.35,39.70000076293945,2.132983446121216,39.70000076293945,9.922219262999999
2017-04-19,2017-07-19,280.76876816749575,318.6999984741211,276.85,41.849998474121094,3.9187681674957275,41.849998474121094,9.568923622
2017-04-20,2017-07-20,279.5608695745468,319.5999984741211,278.25,41.349998474121094,1.310869574546814,41.349998474121094,9.242264372000001
2017-04-21,2017-07-21,282.86917824745177,321.1000015258789,280.7,40.400001525878906,2.1691782474517822,40.400001525878906,9.006403104
2017-04-24,2017-07-24,284.9447704315186,321.25000152587893,281.85,39.400001525878906,3.0947704315185547,39.400001525878906,8.772810035
2017-04-25,2017-07-25,288.1994144439697,319.65000076293944,285.2,34.45000076293945,2.9994144439697266,34.45000076293945,8.582615549
2017-04-26,2017-07-26,284.29931206703185,318.95,286.45,-32.5,-2.1506879329681396,32.5,8.38471688
2017-04-27,2017-07-27,285.53920278549197,319.85,287.35,-32.5,-1.8107972145080566,32.5,8.206821227999999
2017-04-28,2017-07-28,288.1584696650505,312.55,287.8,24.75,0.3584696650505066,24.75,7.881278632999999
2017-05-01,2017-07-31,284.16008739471437,313.55,287.8,-25.75,-3.6399126052856445,25.75,7.533613617
2017-05-02,2017-08-01,284.6829698562622,316.55,290.05,-26.5,-5.367030143737793,26.5,7.285671363
2017-05-03,2017-08-02,284.6351731300354,317.15000038146974,290.05,-27.100000381469727,-5.4148268699646,27.100000381469727,7.016293707999999
2017-05-04,2017-08-03,287.82883644104004,311.6499996185303,292.75,-18.899999618530273,-4.921163558959961,18.899999618530273,6.745785542999999
2017-05-05,2017-08-04,288.26940727233887,312.8500003814697,292.75,-20.100000381469727,-4.480592727661133,20.100000381469727,6.460258501
2017-05-08,2017-08-07,291.40209503173827,312.8999998092651,300.7,-12.199999809265137,-9.297904968261719,12.199999809265137,6.39347643
2017-05-09,2017-08-08,290.15829582214354,312.84999961853026,300.7,-12.149999618530273,-10.541704177856445,12.149999618530273,6.319893137999999
2017-05-10,2017-08-09,288.4995629310608,308.6499998092651,296.45,-12.199999809265137,-7.950437068939209,12.199999809265137,6.108970095
2017-05-11,2017-08-10,292.92927227020266,307.25000009536745,300.1,-7.150000095367432,-7.170727729797363,7.150000095367432,6.000102864
2017-05-12,2017-08-11,293.7082704544067,301.49999990463255,298.65,-2.8499999046325684,-4.941729545593262,2.8499999046325684,5.928599299999999
2017-05-15,2017-08-14,296.7075609207153,304.5999998092651,299.65,-4.949999809265137,-2.942439079284668,4.949999809265137,5.828780962000001
2017-05-16,2017-08-15,294.74447441101074,304.59999990463257,299.25,-5.349999904632568,-4.505525588989258,5.349999904632568,5.7148547579999995
2017-05-17,2017-08-16,292.81338596343994,306.25,299.5,-6.75,-6.686614036560059,6.75,5.5839999360000006
2017-05-18,2017-08-17,293.22299470901487,307.9,298.65,-9.25,-5.427005290985107,9.25,5.406939763
2017-05-19,2017-08-18,293.99902057647705,307.75,298.25,-9.5,-4.250979423522949,9.5,5.206907395
2017-05-22,2017-08-21,294.07393274307253,307.04999980926516,300.6,-6.449999809265137,-6.52606725692749,6.449999809265137,5.080547366
2017-05-23,2017-08-22,293.8343918800354,308.70000009536744,301.05,-7.650000095367432,-7.2156081199646,7.650000095367432,4.949270537
2017-05-24,2017-08-23,293.9444321632385,308.5999998092651,301.9,-6.699999809265137,-7.955567836761475,6.699999809265137,4.83709723
2017-05-25,2017-08-24,297.6460933685303,310.09999990463257,305.5,-4.599999904632568,-7.853906631469727,4.599999904632568,4.795610974
2017-05-26,2017-08-25,302.00368843078616,310.25000009536745,307.35,-2.9000000953674316,-5.346311569213867,2.9000000953674316,4.77821554
2017-05-29,2017-08-28,301.9977667808533,308.19999997615815,306.8,-1.399999976158142,-4.8022332191467285,1.399999976158142,4.763677424
2017-05-30,2017-08-29,302.25496039390566,307.1499999523163,304.35,-2.799999952316284,-2.0950396060943604,2.799999952316284,4.717968668999999
2017-05-31,2017-08-30,302.5322018146515,309.0000000476837,305.05,-3.950000047683716,-2.5177981853485107,3.950000047683716,4.668919198999999
2017-06-01,2017-08-31,300.08980264663694,306.65,304.15,-2.5,-4.060197353363037,2.5,4.62348039
2017-06-02,2017-09-01,304.3361711502075,306.2999999523163,307.75,1.4500000476837158,-3.4138288497924805,-1.4500000476837158,4.642003955
2017-06-05,2017-09-04,304.52180037498476,303.50000009536745,307.6,4.099999904632568,-3.078199625015259,-4.099999904632568,4.713492678
2017-06-06,2017-09-05,305.02201256752016,302.6999999046326,307.6,4.900000095367432,-2.5779874324798584,-4.900000095367432,4.8028090489999995
2017-06-07,2017-09-06,307.21269526481626,302.3000000953674,305.4,-3.0999999046325684,1.8126952648162842,-3.0999999046325684,4.870798855
2017-06-08,2017-09-07,307.77758982181547,306.2000000119209,306.65,-0.44999998807907104,1.1275898218154907,-0.44999998807907104,4.87683915
2017-06-09,2017-09-08,306.88781158924104,306.2500000476837,308.55,2.299999952316284,-1.6621884107589722,-2.299999952316284,4.9002955660000005
2017-06-12,2017-09-11,309.19232206344606,309.2500000476837,305.3,3.950000047683716,3.892322063446045,3.950000047683716,4.858193045
2017-06-13,2017-09-12,310.601219701767,309.20000009536744,307.05,2.1500000953674316,3.5512197017669678,2.1500000953674316,4.840698853
2017-06-14,2017-09-13,308.7257881402969,308.5499999761581,307.4,1.149999976158142,1.325788140296936,1.149999976158142,4.830663152
2017-06-15,2017-09-14,308.8965167045593,310.24999990463255,305.65,4.599999904632568,3.246516704559326,4.599999904632568,4.789271238
2017-06-16,2017-09-15,310.6428017616272,311.19999980926514,306.0,5.199999809265137,4.642801761627197,5.199999809265137,4.751880573999999
2017-06-19,2017-09-18,311.099015045166,316.6999996185303,307.8,8.899999618530273,3.2990150451660156,8.899999618530273,4.791113444
2017-06-20,2017-09-19,310.90028128623965,316.04999980926516,308.1,7.949999809265137,2.800281286239624,7.949999809265137,4.81804164
2017-06-21,2017-09-20,315.3657367706299,315.8,306.8,9.0,8.565736770629883,9.0,4.822013947
2017-06-22,2017-09-21,318.5687644958496,316.05,308.55,7.5,10.01876449584961,7.5,4.846478822
2017-06-23,2017-09-22,317.8340301513672,313.75,309.25,4.5,8.584030151367188,4.5,4.84817484
2017-06-26,2017-09-25,319.4546096801758,313.8,310.55,3.25,8.904609680175781,3.25,4.855839194
2017-06-27,2017-09-26,317.3447919845581,311.7999999880791,311.1,0.699999988079071,6.2447919845581055,0.699999988079071,4.855787213999999
2017-06-28,2017-09-27,319.1411666870117,311.39999997615814,310.25,1.149999976158142,8.891166687011719,1.149999976158142,4.853335738
2017-06-29,2017-09-28,321.55188140869143,311.6,312.35,-0.75,9.201881408691406,-0.75,4.852165456
2017-06-30,2017-09-29,322.1935470581055,314.3,311.55,2.75,10.643547058105469,2.75,4.864717336
2017-07-03,2017-10-02,323.7024127960205,314.29999990463256,311.95,2.3499999046325684,11.752412796020508,2.3499999046325684,4.876628548999999
2017-07-04,2017-10-03,320.34854164123533,314.3000000953674,309.65,4.650000095367432,10.698541641235352,4.650000095367432,4.8822296
2017-07-05,2017-10-04,319.3518482208252,314.30000004768374,311.1,3.200000047683716,8.251848220825195,3.200000047683716,4.89287674
2017-07-06,2017-10-05,316.5969530105591,314.30000004768374,311.1,3.200000047683716,5.496953010559082,3.200000047683716,4.902998739
2017-07-07,2017-10-06,314.4113278388977,314.30000019073486,310.25,4.050000190734863,4.161327838897705,4.050000190734863,4.909586629
2017-07-10,2017-10-09,314.93630533218385,314.3,310.8,3.5,4.136305332183838,3.5,4.917685656000001
2017-07-11,2017-10-10,315.0522078990936,320.1499998092651,312.7,7.449999809265137,2.352207899093628,7.449999809265137,5.023503413
2017-07-12,2017-10-11,316.7956858634949,323.2499996185303,312.6,10.649999618530273,4.195685863494873,10.649999618530273,5.214620603
