date_base,date_pred,index_pred,index_real,index_today,loss_profits,prediction,real
2017-04-14,2017-07-14,293.9503089904785,316.7,277.7,39.0,16.250308990478516,39.0
2017-04-17,2017-07-17,291.4943078994751,317.49999847412107,278.65,38.849998474121094,12.844307899475098,38.849998474121094
2017-04-18,2017-07-18,292.76431999206545,318.0500007629395,278.35,39.70000076293945,14.41431999206543,39.70000076293945
2017-04-19,2017-07-19,293.0525032043457,318.6999984741211,276.85,41.849998474121094,16.202503204345703,41.849998474121094
2017-04-20,2017-07-20,285.9781708717346,319.5999984741211,278.25,41.349998474121094,7.728170871734619,41.349998474121094
2017-04-21,2017-07-21,292.7719451904297,321.1000015258789,280.7,40.400001525878906,12.071945190429688,40.400001525878906
2017-04-24,2017-07-24,296.92370281219485,321.25000152587893,281.85,39.400001525878906,15.073702812194824,39.400001525878906
2017-04-25,2017-07-25,291.0161234855652,319.65000076293944,285.2,34.45000076293945,5.8161234855651855,34.45000076293945
2017-04-26,2017-07-26,290.5185133934021,318.95,286.45,32.5,4.0685133934021,32.5
2017-04-27,2017-07-27,297.24348602294924,319.85,287.35,32.5,9.893486022949219,32.5
2017-04-28,2017-07-28,303.24578552246095,312.55,287.8,24.75,15.445785522460938,24.75
2017-05-01,2017-07-31,293.44169931411744,313.55,287.8,25.75,5.641699314117432,25.75
2017-05-02,2017-08-01,290.811343061924,316.55,290.05,26.5,0.7613430619239807,26.5
2017-05-03,2017-08-02,290.2179159104824,317.15000038146974,290.05,27.100000381469727,0.16791591048240662,27.100000381469727
2017-05-04,2017-08-03,295.8545169830322,311.6499996185303,292.75,18.899999618530273,3.1045169830322266,18.899999618530273
2017-05-05,2017-08-04,296.69352626800537,312.8500003814697,292.75,20.100000381469727,3.943526268005371,20.100000381469727
2017-05-08,2017-08-07,295.6183554649353,312.8999998092651,300.7,-12.199999809265137,-5.081644535064697,12.199999809265137
2017-05-09,2017-08-08,295.7079107284546,312.84999961853026,300.7,-12.149999618530273,-4.99208927154541,12.149999618530273
2017-05-10,2017-08-09,298.19609398841857,308.6499998092651,296.45,12.199999809265137,1.746093988418579,12.199999809265137
2017-05-11,2017-08-10,301.31230065822604,307.25000009536745,300.1,7.150000095367432,1.2123006582260132,7.150000095367432
2017-05-12,2017-08-11,305.36241426467893,301.49999990463255,298.65,2.8499999046325684,6.712414264678955,2.8499999046325684
2017-05-15,2017-08-14,304.0327338218689,304.5999998092651,299.65,4.949999809265137,4.3827338218688965,4.949999809265137
2017-05-16,2017-08-15,305.2948613166809,304.59999990463257,299.25,5.349999904632568,6.044861316680908,5.349999904632568
2017-05-17,2017-08-16,300.58418214321136,306.25,299.5,6.75,1.0841821432113647,6.75
2017-05-18,2017-08-17,299.92237248420713,307.9,298.65,9.25,1.2723724842071533,9.25
2017-05-19,2017-08-18,297.33412086963654,307.75,298.25,-9.5,-0.9158791303634644,9.5
2017-05-22,2017-08-21,297.2298079490662,307.04999980926516,300.6,-6.449999809265137,-3.370192050933838,6.449999809265137
2017-05-23,2017-08-22,294.9502242088318,308.70000009536744,301.05,-7.650000095367432,-6.099775791168213,7.650000095367432
2017-05-24,2017-08-23,298.5300191879272,308.5999998092651,301.9,-6.699999809265137,-3.369980812072754,6.699999809265137
2017-05-25,2017-08-24,303.9766358137131,310.09999990463257,305.5,-4.599999904632568,-1.5233641862869263,4.599999904632568
2017-05-26,2017-08-25,308.33434412479403,310.25000009536745,307.35,2.9000000953674316,0.9843441247940063,2.9000000953674316
2017-05-29,2017-08-28,309.18571310043336,308.19999997615815,306.8,1.399999976158142,2.3857131004333496,1.399999976158142
2017-05-30,2017-08-29,309.8714743614197,307.1499999523163,304.35,2.799999952316284,5.521474361419678,2.799999952316284
2017-05-31,2017-08-30,312.630424785614,309.0000000476837,305.05,3.950000047683716,7.580424785614014,3.950000047683716
2017-06-01,2017-08-31,311.1779755592346,306.65,304.15,2.5,7.027975559234619,2.5
2017-06-02,2017-09-01,310.5950222015381,306.2999999523163,307.75,-1.4500000476837158,2.845022201538086,-1.4500000476837158
2017-06-05,2017-09-04,311.7635599136353,303.50000009536745,307.6,-4.099999904632568,4.163559913635254,-4.099999904632568
2017-06-06,2017-09-05,312.2804261207581,302.6999999046326,307.6,-4.900000095367432,4.680426120758057,-4.900000095367432
2017-06-07,2017-09-06,311.21839609146116,302.3000000953674,305.4,-3.0999999046325684,5.818396091461182,-3.0999999046325684
2017-06-08,2017-09-07,313.9471887588501,306.2000000119209,306.65,-0.44999998807907104,7.297188758850098,-0.44999998807907104
2017-06-09,2017-09-08,318.335532951355,306.2500000476837,308.55,-2.299999952316284,9.78553295135498,-2.299999952316284
2017-06-12,2017-09-11,319.41991119384767,309.2500000476837,305.3,3.950000047683716,14.119911193847656,3.950000047683716
