date_pred,datet_base,index_pred,index_real,index_today,loss_profits,prediction,real
2018-03-02,2017-12-01,314.9768668174744,308.1500001907349,321.85,13.699999809265137,-6.873133182525635,-13.699999809265137
2018-03-05,2017-12-04,321.141149520874,303.8500003814697,325.0,21.149999618530273,-3.8588504791259766,-21.149999618530273
2018-03-06,2017-12-05,317.9384952545166,310.3000007629395,326.6,16.299999237060547,-8.661504745483398,-16.299999237060547
2018-03-07,2017-12-06,317.91422572135923,310.45000019073484,321.65,11.199999809265137,-3.735774278640747,-11.199999809265137
2018-03-08,2017-12-07,317.73929233551024,313.6000000953674,320.7,7.099999904632568,-2.960707664489746,-7.099999904632568
2018-03-09,2017-12-08,316.7829808235168,317.0999998092651,321.4,4.300000190734863,-4.617019176483154,-4.300000190734863
2018-03-12,2017-12-11,313.01445865631104,320.10000002384186,321.5,1.399999976158142,-8.485541343688965,-1.399999976158142
2018-03-13,2017-12-12,320.3117596924305,321.4999999523163,320.45,-1.0499999523162842,-0.13824030756950378,1.0499999523162842
2018-03-14,2017-12-13,321.03321371078493,321.55000004768374,322.85,1.2999999523162842,-1.816786289215088,-1.2999999523162842
2018-03-15,2017-12-14,330.8069603919983,322.8499999523163,324.3,-1.4500000476837158,6.506960391998291,-1.4500000476837158
2018-03-16,2017-12-15,324.0938733816147,322.0,322.75,-0.75,1.343873381614685,-0.75
2018-03-19,2017-12-18,326.17570009231565,319.8499998092651,324.15,-4.300000190734863,2.025700092315674,-4.300000190734863
2018-03-20,2017-12-19,327.10038528442385,321.30000004768374,323.85,-2.549999952316284,3.250385284423828,-2.549999952316284
2018-03-21,2017-12-20,324.0692747116089,321.5999999523163,323.55,-1.9500000476837158,0.5192747116088867,-1.9500000476837158
2018-03-22,2017-12-21,317.6555078983307,322.1,316.85,5.25,0.8055078983306885,5.25
2018-03-23,2017-12-22,319.7175294160843,311.5,318.5,-7.0,1.2175294160842896,-7.0
2018-03-26,2017-12-25,319.37672889232635,314.5,318.5,-4.0,0.876728892326355,-4.0
2018-03-27,2017-12-26,314.56860466003417,315.1500000476837,317.45,2.299999952316284,-2.8813953399658203,-2.299999952316284
2018-03-28,2017-12-27,319.5197637796402,310.6499998092651,321.2,10.550000190734863,-1.6802362203598022,-10.550000190734863
2018-03-29,2017-12-28,324.2977028131485,314.45000019073484,325.65,11.199999809265137,-1.3522971868515015,-11.199999809265137
2018-03-30,2017-12-29,326.41409220695493,314.54999961853025,325.65,-11.100000381469727,0.764092206954956,-11.100000381469727
2018-04-02,2018-01-01,320.8935040473938,313.45000019073484,325.65,12.199999809265137,-4.756495952606201,-12.199999809265137
2018-04-03,2018-01-02,321.4524531364441,312.80000019073486,326.5,13.699999809265137,-5.047546863555908,-13.699999809265137
2018-04-04,2018-01-03,323.6477729797363,307.5500003814697,327.7,20.149999618530273,-4.052227020263672,-20.149999618530273
2018-04-05,2018-01-04,321.24859833717346,312.94999980926514,325.0,12.050000190734863,-3.751401662826538,-12.050000190734863
2018-04-06,2018-01-05,321.4180027961731,311.2,328.95,17.75,-7.531997203826904,-17.75
2018-04-09,2018-01-08,322.10821437835693,312.95000076293945,331.25,18.299999237060547,-9.141785621643066,-18.299999237060547
2018-04-10,2018-01-09,324.815807056427,313.45,330.45,17.0,-5.634192943572998,-17.0
2018-04-11,2018-01-10,326.93568370342257,312.45000038146975,327.85,15.399999618530273,-0.9143162965774536,-15.399999618530273
2018-04-12,2018-01-11,327.80571484565735,311.75,326.5,-14.75,1.3057148456573486,-14.75
2018-04-13,2018-01-12,322.3418899536133,314.45000038146975,326.85,12.399999618530273,-4.508110046386719,-12.399999618530273
2018-04-16,2018-01-15,324.6414487838745,314.3,327.3,13.0,-2.6585512161254883,-13.0
2018-04-17,2018-01-16,320.6425256729126,314.3999996185303,330.5,16.100000381469727,-9.857474327087402,-16.100000381469727
2018-04-18,2018-01-17,322.76573915481566,317.59999961853026,329.2,11.600000381469727,-6.434260845184326,-11.600000381469727
2018-04-19,2018-01-18,321.3728260040283,319.0000003814697,329.4,10.399999618530273,-8.02717399597168,-10.399999618530273
2018-04-20,2018-01-19,325.48933897018435,316.9000001907349,329.6,12.699999809265137,-4.110661029815674,-12.699999809265137
2018-04-23,2018-01-22,316.31550121307373,317.1000003814697,326.25,9.149999618530273,-9.93449878692627,-9.149999618530273
2018-04-24,2018-01-23,320.6612777709961,315.3500003814697,331.25,15.899999618530273,-10.588722229003906,-15.899999618530273
2018-04-25,2018-01-24,327.3736315727234,312.95000038146975,331.6,18.649999618530273,-4.226368427276611,-18.649999618530273
2018-04-26,2018-01-25,338.4872591972351,317.4499996185303,334.3,-16.850000381469727,4.187259197235107,-16.850000381469727
2018-04-27,2018-01-26,339.88844938278197,320.1499998092651,335.95,-15.800000190734863,3.9384493827819824,-15.800000190734863
2018-04-30,2018-01-29,340.2665431499481,321.6499996185303,338.5,-16.850000381469727,1.7665431499481201,-16.850000381469727
2018-05-01,2018-01-30,338.05693712234495,321.65,333.9,-12.25,4.156937122344971,-12.25
2018-05-02,2018-01-31,334.21906368136405,319.75000019073485,334.45,14.699999809265137,-0.23093631863594055,-14.699999809265137
2018-05-03,2018-02-01,331.0454789638519,318.0000003814697,333.65,15.649999618530273,-2.6045210361480713,-15.649999618530273
2018-05-04,2018-02-02,335.6147855758667,316.45000019073484,327.4,-10.949999809265137,8.2147855758667,-10.949999809265137
2018-05-07,2018-02-05,343.77198791503906,316.44999980926514,323.0,-6.550000190734863,20.771987915039062,-6.550000190734863
2018-05-08,2018-02-06,331.37087669372556,314.0500000953674,317.65,-3.5999999046325684,13.720876693725586,-3.5999999046325684
2018-05-09,2018-02-07,326.549280166626,314.05000019073486,309.5,4.550000190734863,17.049280166625977,4.550000190734863
2018-05-10,2018-02-08,323.04007148742676,315.84999990463257,312.5,3.3499999046325684,10.540071487426758,3.3499999046325684
2018-05-11,2018-02-09,314.0259538650513,317.6500001907349,303.85,13.800000190734863,10.17595386505127,13.800000190734863
2018-05-14,2018-02-12,309.476947760582,316.85,308.1,8.75,1.3769477605819702,8.75
2018-05-15,2018-02-13,317.13162698745725,313.74999990463255,311.4,2.3499999046325684,5.731626987457275,2.3499999046325684
2018-05-16,2018-02-14,311.7884550571442,314.90000002384187,314.3,-0.6000000238418579,-2.511544942855835,0.6000000238418579
2018-05-17,2018-02-15,308.2286608695984,313.40000002384187,314.3,0.8999999761581421,-6.071339130401611,-0.8999999761581421
2018-05-18,2018-02-16,313.24133150577546,314.7499999880791,314.3,-0.44999998807907104,-1.0586684942245483,0.44999998807907104
2018-05-21,2018-02-19,302.14348888397217,315.10000002384186,316.25,1.149999976158142,-14.106511116027832,-1.149999976158142
2018-05-22,2018-02-20,302.38764476776123,315.09999990463257,312.0,-3.0999999046325684,-9.61235523223877,3.0999999046325684
2018-05-23,2018-02-21,299.042883682251,317.1499999046326,314.05,-3.0999999046325684,-15.007116317749023,3.0999999046325684
2018-05-24,2018-02-22,306.3167563438416,316.54999980926516,311.85,-4.699999809265137,-5.533243656158447,4.699999809265137
2018-05-25,2018-02-23,316.39287025928496,317.2999999940395,316.95,-0.3499999940395355,-0.5571297407150269,0.3499999940395355
2018-05-28,2018-02-26,313.9746213912964,318.1,317.1,-1.0,-3.1253786087036133,1.0
2018-05-29,2018-02-27,313.0046663284302,314.89999997615814,315.75,0.8500000238418579,-2.745333671569824,-0.8500000238418579
2018-05-30,2018-02-28,315.55480880737304,307.54999990463256,312.45,-4.900000095367432,3.104808807373047,-4.900000095367432
2018-05-31,2018-03-01,313.6195872545242,309.1500000476837,312.45,-3.299999952316284,1.169587254524231,-3.299999952316284
2018-06-01,2018-03-02,311.8338822364807,311.4,308.15,3.25,3.683882236480713,3.25
2018-06-04,2018-03-05,311.623992061615,313.1500001907349,303.85,9.300000190734863,7.77399206161499,9.300000190734863
2018-06-05,2018-03-06,313.663169670105,313.7500000476837,310.3,3.450000047683716,3.3631696701049805,3.450000047683716
2018-06-06,2018-03-07,314.79777975082396,313.7499999523163,310.45,3.299999952316284,4.347779750823975,3.299999952316284
2018-06-07,2018-03-08,312.54321978092196,316.85,313.6,-3.25,-1.056780219078064,3.25
2018-06-08,2018-03-09,318.0026557207108,313.30000004768374,317.1,-3.799999952316284,0.9026557207107544,-3.799999952316284
2018-06-11,2018-03-12,315.9784332275391,316.1499999523163,320.1,3.950000047683716,-4.1215667724609375,-3.950000047683716
2018-06-12,2018-03-13,318.7233262062073,315.65000009536743,321.5,5.849999904632568,-2.7766737937927246,-5.849999904632568
2018-06-13,2018-03-14,315.0652807235718,315.6499999046326,321.55,5.900000095367432,-6.484719276428223,-5.900000095367432
2018-06-14,2018-03-15,315.64670810699465,310.4000001907349,322.85,12.449999809265137,-7.203291893005371,-12.449999809265137
2018-06-15,2018-03-16,309.8963670730591,309.19999980926514,322.0,12.800000190734863,-12.103632926940918,-12.800000190734863
2018-06-18,2018-03-19,308.08170185089114,305.85,319.85,14.0,-11.768298149108887,-14.0
2018-06-19,2018-03-20,315.9580924987793,301.34999923706056,321.3,19.950000762939453,-5.341907501220703,-19.950000762939453
2018-06-20,2018-03-21,310.89982471466067,304.20000038146975,321.6,17.399999618530273,-10.700175285339355,-17.399999618530273
2018-06-21,2018-03-22,320.05993423461916,300.7499996185303,322.1,21.350000381469727,-2.0400657653808594,-21.350000381469727
2018-06-22,2018-03-23,326.7799263000488,303.65000009536743,311.5,-7.849999904632568,15.279926300048828,-7.849999904632568
2018-06-25,2018-03-26,325.79622745513916,303.25,314.5,-11.25,11.29622745513916,-11.25
2018-06-26,2018-03-27,321.5238713264465,302.4,315.15,-12.75,6.373871326446533,-12.75
2018-06-27,2018-03-28,311.94098761081693,301.54999961853025,310.65,-9.100000381469727,1.2909876108169556,-9.100000381469727
2018-06-28,2018-03-29,305.83953685760497,299.09999961853026,314.45,15.350000381469727,-8.61046314239502,-15.350000381469727
2018-06-29,2018-03-30,303.65029220581056,299.99999980926515,314.55,14.550000190734863,-10.899707794189453,-14.550000190734863
2018-07-02,2018-04-02,307.38242597579955,292.90000076293944,313.45,20.549999237060547,-6.0675740242004395,-20.549999237060547
2018-07-03,2018-04-03,307.89997606277467,293.75000076293946,312.8,19.049999237060547,-4.900023937225342,-19.049999237060547
2018-07-04,2018-04-04,310.98298316001893,292.55,307.55,-15.0,3.432983160018921,-15.0
2018-07-05,2018-04-05,307.47589654922484,291.99999923706054,312.95,20.950000762939453,-5.4741034507751465,-20.950000762939453
