date,index1,index2,loss_profits,pred_date,prediction,real
2017-07-10,310.8,312.8999999046326,2.0999999046325684,2017-08-07,1.008907437324524,2.0999999046325684
2017-07-11,312.7,312.85000000596045,0.15000000596046448,2017-08-08,0.9861710071563721,0.15000000596046448
2017-07-12,312.6,308.6499999523163,-3.950000047683716,2017-08-09,3.126703977584839,-3.950000047683716
2017-07-13,316.55,307.24999980926515,-9.300000190734863,2017-08-10,0.07004134356975555,-9.300000190734863
2017-07-14,316.7,301.50000019073485,-15.199999809265137,2017-08-11,1.505663514137268,-15.199999809265137
2017-07-17,317.5,304.6000003814697,-12.899999618530273,2017-08-14,0.7262824177742004,-12.899999618530273
2017-07-18,318.05,304.6000001907349,13.449999809265137,2017-08-15,-1.3104617595672607,-13.449999809265137
2017-07-19,318.7,306.25000019073485,-12.449999809265137,2017-08-16,0.22344887256622314,-12.449999809265137
2017-07-20,319.6,307.9000001907349,-11.699999809265137,2017-08-17,1.8629341125488281,-11.699999809265137
2017-07-21,321.1,307.7499996185303,13.350000381469727,2017-08-18,-0.06459464132785797,-13.350000381469727
2017-07-24,321.25,307.05000019073486,-14.199999809265137,2017-08-21,3.9016058444976807,-14.199999809265137
2017-07-25,319.65,308.70000019073484,-10.949999809265137,2017-08-22,6.938893795013428,-10.949999809265137
2017-07-26,318.95,308.59999961853026,-10.350000381469727,2017-08-23,4.743322849273682,-10.350000381469727
2017-07-27,319.85,310.1,-9.75,2017-08-24,5.481119632720947,-9.75
2017-07-28,312.55,310.2500000476837,-2.299999952316284,2017-08-25,10.21487045288086,-2.299999952316284
2017-07-31,313.55,308.20000009536744,5.349999904632568,2017-08-28,-0.2869184613227844,-5.349999904632568
2017-08-01,316.55,307.15000038146974,9.399999618530273,2017-08-29,-0.6722574234008789,-9.399999618530273
2017-08-02,317.15,309.0000003814697,-8.149999618530273,2017-08-30,0.9494220018386841,-8.149999618530273
2017-08-03,311.65,306.65,-5.0,2017-08-31,2.4997339248657227,-5.0
2017-08-04,312.85,306.29999980926516,-6.550000190734863,2017-09-01,2.7648496627807617,-6.550000190734863
2017-08-07,312.9,303.5000003814697,-9.399999618530273,2017-09-04,2.3250951766967773,-9.399999618530273
2017-08-08,312.85,302.70000038146975,-10.149999618530273,2017-09-05,3.0292177200317383,-10.149999618530273
2017-08-09,308.65,302.3000000953674,-6.349999904632568,2017-09-06,9.085023880004883,-6.349999904632568
2017-08-10,307.25,306.2000000476837,-1.0499999523162842,2017-09-07,6.585825443267822,-1.0499999523162842
2017-08-11,301.5,306.25,4.75,2017-09-08,11.120349884033203,4.75
2017-08-14,304.6,309.25000009536745,4.650000095367432,2017-09-11,10.848455429077148,4.650000095367432
2017-08-15,304.6,309.1999999046326,4.599999904632568,2017-09-12,9.496562957763672,4.599999904632568
2017-08-16,306.25,308.5499999523163,2.299999952316284,2017-09-13,10.104738235473633,2.299999952316284
2017-08-17,307.9,310.24999990463255,2.3499999046325684,2017-09-14,11.231302261352539,2.3499999046325684
2017-08-18,307.75,311.2000000476837,3.450000047683716,2017-09-15,10.344612121582031,3.450000047683716
2017-08-21,307.05,316.6999996185303,9.649999618530273,2017-09-18,9.417394638061523,9.649999618530273
2017-08-22,308.7,316.04999990463256,7.349999904632568,2017-09-19,10.373453140258789,7.349999904632568
2017-08-23,308.6,315.79999980926516,7.199999809265137,2017-09-20,10.812175750732422,7.199999809265137
2017-08-24,310.1,316.04999980926516,5.949999809265137,2017-09-21,10.489084243774414,5.949999809265137
2017-08-25,310.25,313.75,3.5,2017-09-22,10.67778205871582,3.5
2017-08-28,308.2,313.79999990463256,5.599999904632568,2017-09-25,10.925920486450195,5.599999904632568
2017-08-29,307.15,311.8000000953674,4.650000095367432,2017-09-26,10.085840225219727,4.650000095367432
2017-08-30,309.0,311.40000009536743,2.4000000953674316,2017-09-27,9.292531967163086,2.4000000953674316
2017-08-31,306.65,311.5999998092651,4.949999809265137,2017-09-28,5.246191501617432,4.949999809265137
2017-09-01,306.3,314.3,8.0,2017-09-29,5.912289142608643,8.0
2017-09-04,303.5,314.30000019073486,10.800000190734863,2017-10-02,6.39312744140625,10.800000190734863
2017-09-05,302.7,314.3000003814697,11.600000381469727,2017-10-03,9.400423049926758,11.600000381469727
2017-09-06,302.3,314.3,12.0,2017-10-04,8.076948165893555,12.0
2017-09-07,306.2,314.3000003814697,8.100000381469727,2017-10-05,4.199667453765869,8.100000381469727
2017-09-08,306.25,314.30000019073486,8.050000190734863,2017-10-06,4.820801258087158,8.050000190734863
2017-09-11,309.25,314.30000019073486,5.050000190734863,2017-10-09,3.4748659133911133,5.050000190734863
2017-09-12,309.2,320.1499998092651,10.949999809265137,2017-10-10,3.8801188468933105,10.949999809265137
2017-09-13,308.55,323.24999980926515,14.699999809265137,2017-10-11,0.8712174892425537,14.699999809265137
2017-09-14,310.25,325.6499996185303,15.399999618530273,2017-10-12,3.6221652030944824,15.399999618530273
2017-09-15,311.2,325.3000003814697,-14.100000381469727,2017-10-13,-1.5000336170196533,14.100000381469727
2017-09-18,316.7,325.50000019073485,-8.800000190734863,2017-10-16,-1.295686960220337,8.800000190734863
2017-09-19,316.05,325.8,-9.75,2017-10-17,-1.6949241161346436,9.75
2017-09-20,315.8,325.8500001907349,10.050000190734863,2017-10-18,0.8274242281913757,10.050000190734863
2017-09-21,316.05,324.1000001907349,8.050000190734863,2017-10-19,2.482882261276245,8.050000190734863
2017-09-22,313.75,326.25,12.5,2017-10-20,3.524536371231079,12.5
2017-09-25,313.8,327.05,13.25,2017-10-23,5.389108180999756,13.25
2017-09-26,311.8,326.55,14.75,2017-10-24,2.1691339015960693,14.75
2017-09-27,311.4,326.7500003814697,15.350000381469727,2017-10-25,4.913961887359619,15.350000381469727
2017-09-28,311.6,323.7499996185303,12.149999618530273,2017-10-26,7.3385491371154785,12.149999618530273
2017-09-29,314.3,326.8500001907349,12.550000190734863,2017-10-27,4.372309684753418,12.550000190734863
2017-10-02,314.3,327.4499996185303,-13.149999618530273,2017-10-30,-4.462156295776367,13.149999618530273
2017-10-03,314.3,331.05,-16.75,2017-10-31,-3.593036651611328,16.75
2017-10-04,314.3,336.55,-22.25,2017-11-01,-3.3573288917541504,22.25
2017-10-05,314.3,335.05,-20.75,2017-11-02,-1.6278163194656372,20.75
2017-10-06,314.3,336.34999923706056,-22.049999237060547,2017-11-03,-0.8978722095489502,22.049999237060547
2017-10-09,314.3,334.15000038146974,-19.850000381469727,2017-11-06,-1.5763120651245117,19.850000381469727
2017-10-10,320.15,333.7500003814697,13.600000381469727,2017-11-07,1.667176604270935,13.600000381469727
2017-10-11,323.25,335.25,12.0,2017-11-08,2.6101040840148926,12.0
2017-10-12,325.65,333.65,8.0,2017-11-09,0.5304044485092163,8.0
2017-10-13,325.3,332.8999999046326,7.599999904632568,2017-11-10,0.6235693097114563,7.599999904632568
2017-10-16,325.5,331.55000019073486,-6.050000190734863,2017-11-13,-0.07188279926776886,6.050000190734863
2017-10-17,325.8,331.3,5.5,2017-11-14,1.6885162591934204,5.5
2017-10-18,325.85,329.1499999523163,3.299999952316284,2017-11-15,4.697821140289307,3.299999952316284
2017-10-19,324.1,331.29999980926516,7.199999809265137,2017-11-16,0.49139177799224854,7.199999809265137
2017-10-20,326.25,330.94999980926514,4.699999809265137,2017-11-17,1.4212448596954346,4.699999809265137
2017-10-23,327.05,329.45000009536744,2.4000000953674316,2017-11-20,2.312281608581543,2.4000000953674316
2017-10-24,326.55,330.8500001907349,-4.300000190734863,2017-11-21,-1.0875449180603027,4.300000190734863
2017-10-25,326.75,332.55000019073486,-5.800000190734863,2017-11-22,-0.6052387952804565,5.800000190734863
2017-10-26,323.75,331.44999980926514,-7.699999809265137,2017-11-23,-0.47514912486076355,7.699999809265137
2017-10-27,326.85,332.25000009536745,-5.400000095367432,2017-11-24,-2.086237907409668,5.400000095367432
2017-10-30,327.45,325.9000000476837,1.5499999523162842,2017-11-27,-3.2813801765441895,-1.5499999523162842
2017-10-31,331.05,327.70000009536744,3.3499999046325684,2017-11-28,-1.6147708892822266,-3.3499999046325684
2017-11-01,336.55,327.6999996185303,-8.850000381469727,2017-11-29,0.21983465552330017,-8.850000381469727
2017-11-02,335.05,322.24999980926515,-12.800000190734863,2017-11-30,1.3063277006149292,-12.800000190734863
2017-11-03,336.35,321.85,-14.5,2017-12-01,1.8870587348937988,-14.5
2017-11-06,334.15,325.0000003814697,-9.149999618530273,2017-12-04,2.950355052947998,-9.149999618530273
2017-11-07,333.75,326.59999990463257,-7.150000095367432,2017-12-05,0.22250896692276,-7.150000095367432
2017-11-08,335.25,321.6499996185303,-13.600000381469727,2017-12-06,0.2710304260253906,-13.600000381469727
2017-11-09,333.65,320.70000019073484,12.949999809265137,2017-12-07,-0.7886689901351929,-12.949999809265137
2017-11-10,332.9,321.4,11.5,2017-12-08,-3.2494771480560303,-11.5
2017-11-13,331.55,321.49999980926515,10.050000190734863,2017-12-11,-7.3485426902771,-10.050000190734863
2017-11-14,331.3,320.4499996185303,10.850000381469727,2017-12-12,-7.2963056564331055,-10.850000381469727
2017-11-15,329.15,322.8499998092651,6.300000190734863,2017-12-13,-7.596380233764648,-6.300000190734863
2017-11-16,331.3,324.3,7.0,2017-12-14,-3.6674840450286865,-7.0
2017-11-17,330.95,322.75000019073485,8.199999809265137,2017-12-15,-1.3649983406066895,-8.199999809265137
2017-11-20,329.45,324.1499998092651,5.300000190734863,2017-12-18,-1.4323606491088867,-5.300000190734863
2017-11-21,330.85,323.85,7.0,2017-12-19,-4.094936847686768,-7.0
2017-11-22,332.55,323.55,9.0,2017-12-20,-9.556037902832031,-9.0
2017-11-23,331.45,316.84999961853026,14.600000381469727,2017-12-21,-8.796989440917969,-14.600000381469727
2017-11-24,332.25,318.5,13.75,2017-12-22,-5.490133762359619,-13.75
2017-11-27,325.9,318.49999990463255,7.400000095367432,2017-12-25,-4.265285968780518,-7.400000095367432
2017-11-28,327.7,317.45,10.25,2017-12-26,-10.934110641479492,-10.25
2017-11-29,327.7,321.2,6.5,2017-12-27,-1.2185492515563965,-6.5
2017-11-30,322.25,325.65000009536743,-3.4000000953674316,2017-12-28,-0.6918249726295471,3.4000000953674316
2017-12-01,321.85,325.6499999523163,3.799999952316284,2017-12-29,2.1657302379608154,3.799999952316284
2017-12-04,325.0,325.64999997615814,-0.6499999761581421,2018-01-01,-4.002265930175781,0.6499999761581421
2017-12-05,326.6,326.4999999985099,0.10000000149011612,2018-01-02,-6.785798072814941,-0.10000000149011612
2017-12-06,321.65,327.70000019073484,6.050000190734863,2018-01-03,0.02460135519504547,6.050000190734863
