date,index1,index2,loss_profits,pred_date,prediction,real,0.586345382,10.91248432
2017-07-10,310.8,312.8999999,2.099999905,2017-08-07,3.30211854,2.099999905,,1.445089213
2017-07-11,312.7,312.85,0.150000006,2017-08-08,1.36184001,0.150000006,,1.468556195
2017-07-12,312.6,308.65,-3.950000048,2017-08-09,2.737874508,-3.950000048,,44.72766607
2017-07-13,316.55,307.2499998,9.300000191,2017-08-10,-1.790265322,-9.300000191,,56.3961178
2017-07-14,316.7,301.5000002,-15.19999981,2017-08-11,1.883486986,-15.19999981,,291.8455211
2017-07-17,317.5,304.6000004,12.89999962,2017-08-14,-6.133738518,-12.89999962,,45.78228928
2017-07-18,318.05,304.6000002,13.44999981,2017-08-15,-2.115267992,-13.44999981,,128.4761454
2017-07-19,318.7,306.2500002,12.44999981,2017-08-16,-7.63066721,-12.44999981,,23.22596671
2017-07-20,319.6,307.9000002,-11.69999981,2017-08-17,0.642297387,-11.69999981,,152.3323001
2017-07-21,321.1,307.7499996,13.35000038,2017-08-18,-5.718585491,-13.35000038,,58.23849323
2017-07-24,321.25,307.0500002,14.19999981,2017-08-21,-0.538738966,-14.19999981,,186.6300478
2017-07-25,319.65,308.7000002,10.94999981,2017-08-22,-3.98981595,-10.94999981,,48.44415935
2017-07-26,318.95,308.5999996,10.35000038,2017-08-23,-1.7421,-10.35000038,,74.09594897
2017-07-27,319.85,310.1,-9.75,2017-08-24,1.823892355,-9.75,,133.9549842
2017-07-28,312.55,310.25,-2.299999952,2017-08-25,6.095411777,-2.299999952,,70.48293811
2017-07-31,313.55,308.2000001,5.349999905,2017-08-28,-0.774015069,-5.349999905,,20.93963722
2017-08-01,316.55,307.1500004,-9.399999619,2017-08-29,1.318296313,-9.399999619,,114.8818677
2017-08-02,317.15,309.0000004,-8.149999619,2017-08-30,0.645253062,-8.149999619,,77.35646972
2017-08-03,311.65,306.65,-5,2017-08-31,6.201849937,-5,,125.481442
