date,index_pred,index_real,index_today,loss_profits,pred_date,prediction,real
2017-11-01,341.3561590194702,334.45000009536744,336.55,-2.0999999046325684,2018-01-31,4.806159019470215,-2.0999999046325684
2017-11-02,339.2718189239502,333.65000002384187,335.05,-1.399999976158142,2018-02-01,4.221818923950195,-1.399999976158142
2017-11-03,341.00394878387453,327.4000001907349,336.35,-8.949999809265137,2018-02-02,4.653948783874512,-8.949999809265137
2017-11-06,339.92905750274656,323.0000003814697,334.15,-11.149999618530273,2018-02-05,5.779057502746582,-11.149999618530273
2017-11-07,337.3024764060974,317.6499996185303,333.75,-16.100000381469727,2018-02-06,3.552476406097412,-16.100000381469727
2017-11-08,338.83721947669983,309.5,335.25,-25.75,2018-02-07,3.587219476699829,-25.75
2017-11-09,334.25542011260984,312.5000003814697,333.65,-21.149999618530273,2018-02-08,0.6054201126098633,-21.149999618530273
2017-11-10,334.6042151689529,303.85000076293943,332.9,-29.049999237060547,2018-02-09,1.704215168952942,-29.049999237060547
2017-11-13,333.38817756175996,308.09999923706056,331.55,-23.450000762939453,2018-02-12,1.8381775617599487,-23.450000762939453
2017-11-14,330.9943647861481,311.40000038146974,331.3,19.899999618530273,2018-02-13,-0.3056352138519287,-19.899999618530273
2017-11-15,334.8490575790405,314.29999961853025,329.15,-14.850000381469727,2018-02-14,5.699057579040527,-14.850000381469727
2017-11-16,334.514075088501,314.3,331.3,-17.0,2018-02-15,3.2140750885009766,-17.0
2017-11-17,337.511598777771,314.3000003814697,330.95,-16.649999618530273,2018-02-16,6.561598777770996,-16.649999618530273
2017-11-20,336.871320438385,316.25000019073485,329.45,-13.199999809265137,2018-02-19,7.42132043838501,-13.199999809265137
2017-11-21,336.53336296081545,311.9999996185303,330.85,-18.850000381469727,2018-02-20,5.68336296081543,-18.850000381469727
2017-11-22,337.5921667098999,314.05,332.55,-18.5,2018-02-21,5.042166709899902,-18.5
2017-11-23,336.2135369300842,311.84999961853026,331.45,-19.600000381469727,2018-02-22,4.7635369300842285,-19.600000381469727
2017-11-24,339.70926904678345,316.94999980926514,332.25,-15.300000190734863,2018-02-23,7.459269046783447,-15.300000190734863
2017-11-27,338.9929555892944,317.0999998092651,325.9,-8.800000190734863,2018-02-26,13.092955589294434,-8.800000190734863
2017-11-28,336.6411525726318,315.75000019073485,327.7,-11.949999809265137,2018-02-27,8.941152572631836,-11.949999809265137
2017-11-29,339.1480447769165,312.45,327.7,-15.25,2018-02-28,11.448044776916504,-15.25
2017-11-30,323.90614795684814,312.44999980926514,322.25,-9.800000190734863,2018-03-01,1.6561479568481445,-9.800000190734863
2017-12-01,326.04323015213015,308.1500001907349,321.85,-13.699999809265137,2018-03-02,4.193230152130127,-13.699999809265137
2017-12-04,329.33458518981934,303.8500003814697,325.0,-21.149999618530273,2018-03-05,4.334585189819336,-21.149999618530273
2017-12-05,329.40800342559817,310.3000007629395,326.6,-16.299999237060547,2018-03-06,2.8080034255981445,-16.299999237060547
2017-12-06,330.21136512756345,310.45000019073484,321.65,-11.199999809265137,2018-03-07,8.561365127563477,-11.199999809265137
2017-12-07,326.52828521728514,313.6000000953674,320.7,-7.099999904632568,2018-03-08,5.828285217285156,-7.099999904632568
2017-12-08,326.6597131729126,317.0999998092651,321.4,-4.300000190734863,2018-03-09,5.259713172912598,-4.300000190734863
2017-12-11,324.7287998199463,320.10000002384186,321.5,-1.399999976158142,2018-03-12,3.228799819946289,-1.399999976158142
2017-12-12,326.3018476486206,321.4999999523163,320.45,1.0499999523162842,2018-03-13,5.8518476486206055,1.0499999523162842
2017-12-13,327.01471004486086,321.55000004768374,322.85,-1.2999999523162842,2018-03-14,4.16471004486084,-1.2999999523162842
2017-12-14,329.38316802978517,322.8499999523163,324.3,-1.4500000476837158,2018-03-15,5.083168029785156,-1.4500000476837158
2017-12-15,328.86973905563354,322.0,322.75,-0.75,2018-03-16,6.119739055633545,-0.75
2017-12-18,330.5957535743713,319.8499998092651,324.15,-4.300000190734863,2018-03-19,6.445753574371338,-4.300000190734863
2017-12-19,332.5025402069092,321.30000004768374,323.85,-2.549999952316284,2018-03-20,8.65254020690918,-2.549999952316284
2017-12-20,330.9877613067627,321.5999999523163,323.55,-1.9500000476837158,2018-03-21,7.437761306762695,-1.9500000476837158
2017-12-21,331.6959053039551,322.1,316.85,5.25,2018-03-22,14.845905303955078,5.25
2017-12-22,327.98612785339355,311.5,318.5,-7.0,2018-03-23,9.486127853393555,-7.0
2017-12-25,331.1872253417969,314.5,318.5,-4.0,2018-03-26,12.687225341796875,-4.0
2017-12-26,332.5959560394287,315.1500000476837,317.45,-2.299999952316284,2018-03-27,15.145956039428711,-2.299999952316284
2017-12-27,334.81062240600585,310.6499998092651,321.2,-10.550000190734863,2018-03-28,13.61062240600586,-10.550000190734863
2017-12-28,337.17504730224607,314.45000019073484,325.65,-11.199999809265137,2018-03-29,11.525047302246094,-11.199999809265137
