date_base,date_pred,index_pred,index_real,index_today,loss_profits,prediction,real
2016-12-30,2017-03-31,276.55873718261716,281.60000076293943,260.15,21.450000762939453,16.408737182617188,21.450000762939453
2017-01-02,2017-04-03,267.8350241661072,281.90000038146974,261.3,20.600000381469727,6.535024166107178,20.600000381469727
2017-01-03,2017-04-04,268.962787437439,281.34999923706056,263.3,18.049999237060547,5.662787437438965,18.049999237060547
2017-01-04,2017-04-05,268.2559306144714,280.84999961853026,263.45,17.399999618530273,4.8059306144714355,17.399999618530273
2017-01-05,2017-04-06,268.2809500694275,279.8999996185303,262.75,17.149999618530273,5.53095006942749,17.149999618530273
2017-01-06,2017-04-07,267.16453218460083,279.25,263.75,15.5,3.41453218460083,15.5
2017-01-09,2017-04-10,265.4484021902084,277.65,264.15,13.5,1.298402190208435,13.5
2017-01-10,2017-04-11,268.9909516334534,275.9000001907349,264.1,11.800000190734863,4.890951633453369,11.800000190734863
2017-01-11,2017-04-12,268.1907271981239,276.95000019073484,269.15,-7.800000190734863,-0.9592728018760681,7.800000190734863
2017-01-12,2017-04-13,266.69656057357787,279.1499998092651,268.95,-10.199999809265137,-2.253439426422119,10.199999809265137
2017-01-13,2017-04-14,266.33653831481934,277.69999980926514,268.75,-8.949999809265137,-2.413461685180664,8.949999809265137
2017-01-16,2017-04-17,264.17751288414,278.6499996185303,267.5,-11.149999618530273,-3.3224871158599854,11.149999618530273
2017-01-17,2017-04-18,266.99408781528473,278.3500003814697,268.5,-9.850000381469727,-1.505912184715271,9.850000381469727
2017-01-18,2017-04-19,266.7118024110794,276.8500001907349,268.05,-8.800000190734863,-1.3381975889205933,8.800000190734863
2017-01-19,2017-04-20,264.97472953796387,278.25,268.25,-10.0,-3.275270462036133,10.0
2017-01-20,2017-04-21,265.6010865688324,280.7,267.7,-13.0,-2.0989134311676025,13.0
2017-01-23,2017-04-24,264.8827404975891,281.8500003814697,267.25,-14.600000381469727,-2.3672595024108887,14.600000381469727
2017-01-24,2017-04-25,264.5424653053284,285.20000038146975,268.1,-17.100000381469727,-3.557534694671631,17.100000381469727
2017-01-25,2017-04-26,262.95353136062624,286.45000038146975,268.35,-18.100000381469727,-5.396468639373779,18.100000381469727
2017-01-26,2017-04-27,267.55198845863345,287.35,271.1,-16.25,-3.548011541366577,16.25
2017-01-27,2017-04-28,270.61842266321185,287.8000007629395,271.1,-16.700000762939453,-0.4815773367881775,16.700000762939453
2017-01-30,2017-05-01,271.8181321978569,287.8000007629395,271.1,16.700000762939453,0.7181321978569031,16.700000762939453
2017-01-31,2017-05-02,271.04206614494325,290.05,269.3,20.75,1.7420661449432373,20.75
2017-02-01,2017-05-03,270.94819937944413,290.05,270.3,19.75,0.6481993794441223,19.75
2017-02-02,2017-05-04,271.3233702659607,292.75000076293946,269.3,23.450000762939453,2.0233702659606934,23.450000762939453
2017-02-03,2017-05-05,272.0009373664856,292.7500003814697,269.9,22.850000381469727,2.1009373664855957,22.850000381469727
2017-02-06,2017-05-08,272.6025406360626,300.6999992370605,270.15,30.549999237060547,2.452540636062622,30.549999237060547
2017-02-07,2017-05-09,272.72152967453,300.7,269.45,31.25,3.2715296745300293,31.25
2017-02-08,2017-05-10,275.6033655166626,296.45000038146975,268.35,28.100000381469727,7.253365516662598,28.100000381469727
2017-02-09,2017-05-11,273.71223363876345,300.1,268.6,31.5,5.112233638763428,31.5
2017-02-10,2017-05-12,268.9150344192982,298.64999923706057,268.85,29.799999237060547,0.065034419298172,29.799999237060547
2017-02-13,2017-05-15,266.12548155784606,299.65000076293944,268.95,-30.700000762939453,-2.8245184421539307,30.700000762939453
2017-02-14,2017-05-16,266.21487710475924,299.2499996185303,268.1,-31.149999618530273,-1.8851228952407837,31.149999618530273
2017-02-15,2017-05-17,266.59296703338623,299.5,269.0,-30.5,-2.4070329666137695,30.5
2017-02-16,2017-05-18,267.67001888751986,298.64999923706057,268.85,-29.799999237060547,-1.1799811124801636,29.799999237060547
2017-02-17,2017-05-19,268.9351030945778,298.2499996185303,269.1,-29.149999618530273,-0.1648969054222107,29.149999618530273
2017-02-20,2017-05-22,268.5667221307755,300.6,269.85,-30.75,-1.2832778692245483,30.75
2017-02-21,2017-05-23,269.95458636283877,301.0500007629395,272.35,-28.700000762939453,-2.395413637161255,28.700000762939453
2017-02-22,2017-05-24,272.40716141462326,301.8999996185303,272.75,-29.149999618530273,-0.3428385853767395,29.149999618530273
2017-02-23,2017-05-25,271.08650097846987,305.50000152587893,273.1,-32.400001525878906,-2.0134990215301514,32.400001525878906
2017-02-24,2017-05-26,274.24697556495664,307.35000076293943,270.65,36.70000076293945,3.596975564956665,36.70000076293945
2017-02-27,2017-05-29,274.96456823349,306.8000007629395,269.6,37.20000076293945,5.36456823348999,37.20000076293945
2017-02-28,2017-05-30,266.2529660224915,304.35,269.85,-34.5,-3.597033977508545,34.5
2017-03-01,2017-05-31,263.8979331016541,305.0500007629395,269.85,-35.20000076293945,-5.952066898345947,35.20000076293945
2017-03-02,2017-06-01,261.62812023162843,304.15000038146974,272.8,-31.350000381469727,-11.171879768371582,31.350000381469727
2017-03-03,2017-06-02,267.1268243789673,307.75,269.75,-38.0,-2.623175621032715,38.0
2017-03-06,2017-06-05,267.3775268554688,307.6,270.35,-37.25,-2.97247314453125,37.25
2017-03-07,2017-06-06,264.33954763412476,307.5999984741211,271.75,-35.849998474121094,-7.410452365875244,35.849998474121094
2017-03-08,2017-06-07,267.6669295310974,305.3999984741211,272.3,-33.099998474121094,-4.633070468902588,33.099998474121094
2017-03-09,2017-06-08,265.6035616874695,306.6499984741211,271.55,-35.099998474121094,-5.946438312530518,35.099998474121094
2017-03-10,2017-06-09,267.9855381965637,308.5499984741211,272.45,-36.099998474121094,-4.464461803436279,36.099998474121094
2017-03-13,2017-06-12,267.66166772842405,305.29999961853025,275.65,-29.649999618530273,-7.988332271575928,29.649999618530273
2017-03-14,2017-06-13,270.1251386642456,307.04999961853025,277.9,-29.149999618530273,-7.7748613357543945,29.149999618530273
2017-03-15,2017-06-14,271.38400411605835,307.3999996185303,278.5,-28.899999618530273,-7.11599588394165,28.899999618530273
2017-03-16,2017-06-15,271.61344451904296,305.65000076293944,280.2,-25.450000762939453,-8.586555480957031,25.450000762939453
2017-03-17,2017-06-16,276.0136967658997,305.9999996185303,281.35,-24.649999618530273,-5.336303234100342,24.649999618530273
2017-03-20,2017-06-19,281.2365850895643,307.79999961853025,281.4,-26.399999618530273,-0.16341491043567657,26.399999618530273
2017-03-21,2017-06-20,282.12357516288756,308.09999961853026,283.95,-24.149999618530273,-1.8264248371124268,24.149999618530273
2017-03-22,2017-06-21,283.97141177654265,306.8000003814697,282.45,24.350000381469727,1.5214117765426636,24.350000381469727
2017-03-23,2017-06-22,285.9233861923218,308.5500007629395,283.1,25.450000762939453,2.8233861923217773,25.450000762939453
2017-03-24,2017-06-23,285.04981565475464,309.25,282.75,26.5,2.2998156547546387,26.5
2017-03-27,2017-06-26,284.30897560119627,310.54999961853025,280.65,29.899999618530273,3.658975601196289,29.899999618530273
2017-03-28,2017-06-27,285.39252252578734,311.09999961853026,281.45,29.649999618530273,3.9425225257873535,29.649999618530273
2017-03-29,2017-06-28,285.79861364364626,310.2499996185303,282.1,28.149999618530273,3.6986136436462402,28.149999618530273
2017-03-30,2017-06-29,285.5572407722473,312.34999923706056,282.05,30.299999237060547,3.5072407722473145,30.299999237060547
2017-03-31,2017-06-30,285.68265495300295,311.5500007629395,281.6,29.950000762939453,4.08265495300293,29.950000762939453
2017-04-03,2017-07-03,283.9615572929382,311.9499992370605,281.9,30.049999237060547,2.0615572929382324,30.049999237060547
2017-04-04,2017-07-04,284.6018720626831,309.64999923706057,281.35,28.299999237060547,3.2518720626831055,28.299999237060547
2017-04-05,2017-07-05,285.0976806640625,311.1,280.85,30.25,4.2476806640625,30.25
2017-04-06,2017-07-06,286.3393434524536,311.10000076293943,279.9,31.200000762939453,6.439343452453613,31.200000762939453
2017-04-07,2017-07-07,287.65107822418213,310.25,279.25,31.0,8.401078224182129,31.0
2017-04-10,2017-07-10,289.94381275177,310.8000015258789,277.65,33.150001525878906,12.29381275177002,33.150001525878906
2017-04-11,2017-07-11,288.74249210357664,312.6999992370605,275.9,36.79999923706055,12.84249210357666,36.79999923706055
2017-04-12,2017-07-12,289.34416980743407,312.6000015258789,276.95,35.650001525878906,12.394169807434082,35.650001525878906
2017-04-13,2017-07-13,291.51168670654295,316.5500015258789,279.15,37.400001525878906,12.361686706542969,37.400001525878906
2017-04-14,2017-07-14,287.58687324523925,316.7,277.7,39.0,9.886873245239258,39.0
2017-04-17,2017-07-17,286.0492495536804,317.49999847412107,278.65,38.849998474121094,7.39924955368042,38.849998474121094
2017-04-18,2017-07-18,286.0315633773804,318.0500007629395,278.35,39.70000076293945,7.681563377380371,39.70000076293945
2017-04-19,2017-07-19,289.83785305023196,318.6999984741211,276.85,41.849998474121094,12.987853050231934,41.849998474121094
2017-04-20,2017-07-20,290.50105381011963,319.5999984741211,278.25,41.349998474121094,12.251053810119629,41.349998474121094
2017-04-21,2017-07-21,289.2480260848999,321.1000015258789,280.7,40.400001525878906,8.548026084899902,40.400001525878906
2017-04-24,2017-07-24,287.5446411132813,321.25000152587893,281.85,39.400001525878906,5.69464111328125,39.400001525878906
2017-04-25,2017-07-25,285.96195126771926,319.65000076293944,285.2,34.45000076293945,0.7619512677192688,34.45000076293945
2017-04-26,2017-07-26,279.71065015792846,318.95,286.45,-32.5,-6.739349842071533,32.5
2017-04-27,2017-07-27,280.7666808128357,319.85,287.35,-32.5,-6.583319187164307,32.5
2017-04-28,2017-07-28,281.5996897697449,312.55,287.8,-24.75,-6.200310230255127,24.75
2017-05-01,2017-07-31,284.5070920467377,313.55,287.8,-25.75,-3.292907953262329,25.75
2017-05-02,2017-08-01,285.8568838119507,316.55,290.05,-26.5,-4.193116188049316,26.5
2017-05-03,2017-08-02,286.9296892166138,317.15000038146974,290.05,-27.100000381469727,-3.1203107833862305,27.100000381469727
2017-05-04,2017-08-03,289.92831206321716,311.6499996185303,292.75,-18.899999618530273,-2.821687936782837,18.899999618530273
2017-05-05,2017-08-04,289.257381439209,312.8500003814697,292.75,-20.100000381469727,-3.4926185607910156,20.100000381469727
2017-05-08,2017-08-07,294.6665832519531,312.8999998092651,300.7,-12.199999809265137,-6.033416748046875,12.199999809265137
2017-05-09,2017-08-08,295.5243222236633,312.84999961853026,300.7,-12.149999618530273,-5.17567777633667,12.149999618530273
2017-05-10,2017-08-09,292.9699737548828,308.6499998092651,296.45,-12.199999809265137,-3.4800262451171875,12.199999809265137
2017-05-11,2017-08-10,296.0551968574524,307.25000009536745,300.1,-7.150000095367432,-4.044803142547607,7.150000095367432
2017-05-12,2017-08-11,292.9327639579773,301.49999990463255,298.65,-2.8499999046325684,-5.717236042022705,2.8499999046325684
2017-05-15,2017-08-14,290.343356513977,304.5999998092651,299.65,-4.949999809265137,-9.30664348602295,4.949999809265137
2017-05-16,2017-08-15,289.24125576019287,304.59999990463257,299.25,-5.349999904632568,-10.008744239807129,5.349999904632568
2017-05-17,2017-08-16,289.6560392379761,306.25,299.5,-6.75,-9.843960762023926,6.75
2017-05-18,2017-08-17,289.76290740966795,307.9,298.65,-9.25,-8.887092590332031,9.25
2017-05-19,2017-08-18,290.4217848777771,307.75,298.25,-9.5,-7.8282151222229,9.5
2017-05-22,2017-08-21,291.3587862014771,307.04999980926516,300.6,-6.449999809265137,-9.24121379852295,6.449999809265137
2017-05-23,2017-08-22,293.1200273513794,308.70000009536744,301.05,-7.650000095367432,-7.9299726486206055,7.650000095367432
2017-05-24,2017-08-23,292.17974224090574,308.5999998092651,301.9,-6.699999809265137,-9.720257759094238,6.699999809265137
2017-05-25,2017-08-24,297.0781602859497,310.09999990463257,305.5,-4.599999904632568,-8.421839714050293,4.599999904632568
2017-05-26,2017-08-25,299.92241487503054,310.25000009536745,307.35,-2.9000000953674316,-7.427585124969482,2.9000000953674316
2017-05-29,2017-08-28,301.5275161743164,308.19999997615815,306.8,-1.399999976158142,-5.272483825683594,1.399999976158142
2017-05-30,2017-08-29,301.54936561584475,307.1499999523163,304.35,-2.799999952316284,-2.8006343841552734,2.799999952316284
2017-05-31,2017-08-30,304.80992058217527,309.0000000476837,305.05,-3.950000047683716,-0.24007941782474518,3.950000047683716
2017-06-01,2017-08-31,307.52225651741026,306.65,304.15,2.5,3.3722565174102783,2.5
2017-06-02,2017-09-01,310.82128047943115,306.2999999523163,307.75,-1.4500000476837158,3.0712804794311523,-1.4500000476837158
2017-06-05,2017-09-04,308.9120259046555,303.50000009536745,307.6,-4.099999904632568,1.3120259046554565,-4.099999904632568
2017-06-06,2017-09-05,309.0902062416077,302.6999999046326,307.6,-4.900000095367432,1.490206241607666,-4.900000095367432
2017-06-07,2017-09-06,311.0383051872253,302.3000000953674,305.4,-3.0999999046325684,5.638305187225342,-3.0999999046325684
2017-06-08,2017-09-07,315.1368764877319,306.2000000119209,306.65,-0.44999998807907104,8.486876487731934,-0.44999998807907104
2017-06-09,2017-09-08,312.76120166778566,306.2500000476837,308.55,-2.299999952316284,4.2112016677856445,-2.299999952316284
2017-06-12,2017-09-11,314.01992111206056,309.2500000476837,305.3,3.950000047683716,8.719921112060547,3.950000047683716
2017-06-13,2017-09-12,314.6439807891846,309.20000009536744,307.05,2.1500000953674316,7.59398078918457,2.1500000953674316
2017-06-14,2017-09-13,313.80228939056394,308.5499999761581,307.4,1.149999976158142,6.402289390563965,1.149999976158142
2017-06-15,2017-09-14,311.4382146835327,310.24999990463255,305.65,4.599999904632568,5.788214683532715,4.599999904632568
2017-06-16,2017-09-15,315.5656852722168,311.19999980926514,306.0,5.199999809265137,9.565685272216797,5.199999809265137
2017-06-19,2017-09-18,313.8232243537903,316.6999996185303,307.8,8.899999618530273,6.023224353790283,8.899999618530273
2017-06-20,2017-09-19,310.5198479652405,316.04999980926516,308.1,7.949999809265137,2.4198479652404785,7.949999809265137
2017-06-21,2017-09-20,312.38382654190065,315.8,306.8,9.0,5.583826541900635,9.0
2017-06-22,2017-09-21,314.45689849853517,316.05,308.55,7.5,5.906898498535156,7.5
2017-06-23,2017-09-22,309.8503632545471,313.75,309.25,4.5,0.6003632545471191,4.5
2017-06-26,2017-09-25,307.49058656692506,313.8,310.55,-3.25,-3.059413433074951,3.25
2017-06-27,2017-09-26,305.41073379516604,311.7999999880791,311.1,-0.699999988079071,-5.689266204833984,0.699999988079071
2017-06-28,2017-09-27,309.0167523622513,311.39999997615814,310.25,-1.149999976158142,-1.2332476377487183,1.149999976158142
2017-06-29,2017-09-28,310.03878078460696,311.6,312.35,0.75,-2.3112192153930664,-0.75
2017-06-30,2017-09-29,319.65626697540284,314.3,311.55,2.75,8.106266975402832,2.75
2017-07-03,2017-10-02,321.89842624664306,314.29999990463256,311.95,2.3499999046325684,9.948426246643066,2.3499999046325684
2017-07-04,2017-10-03,318.7800191879272,314.3000000953674,309.65,4.650000095367432,9.130019187927246,4.650000095367432
2017-07-05,2017-10-04,318.2386184692383,314.30000004768374,311.1,3.200000047683716,7.138618469238281,3.200000047683716
2017-07-06,2017-10-05,318.00463304519656,314.30000004768374,311.1,3.200000047683716,6.904633045196533,3.200000047683716
2017-07-07,2017-10-06,317.050537109375,314.30000019073486,310.25,4.050000190734863,6.800537109375,4.050000190734863
2017-07-10,2017-10-09,314.0286629676819,314.3,310.8,3.5,3.2286629676818848,3.5
2017-07-11,2017-10-10,316.1590272903442,320.1499998092651,312.7,7.449999809265137,3.4590272903442383,7.449999809265137
2017-07-12,2017-10-11,318.8751030921936,323.2499996185303,312.6,10.649999618530273,6.2751030921936035,10.649999618530273
2017-07-13,2017-10-12,318.051571893692,325.65000038146974,316.55,9.100000381469727,1.5015718936920166,9.100000381469727
2017-07-14,2017-10-13,322.26466579437255,325.3000003814697,316.7,8.600000381469727,5.564665794372559,8.600000381469727
2017-07-17,2017-10-16,325.1292071342468,325.5,317.5,8.0,7.629207134246826,8.0
2017-07-18,2017-10-17,326.78166751861573,325.8,318.05,7.75,8.731667518615723,7.75
2017-07-19,2017-10-18,324.2255699157715,325.8500000953674,318.7,7.150000095367432,5.525569915771484,7.150000095367432
2017-07-20,2017-10-19,324.2911644935608,324.1,319.6,4.5,4.691164493560791,4.5
2017-07-21,2017-10-20,330.4413009643555,326.25000009536745,321.1,5.150000095367432,9.341300964355469,5.150000095367432
2017-07-24,2017-10-23,332.8525171279907,327.05000019073486,321.25,5.800000190734863,11.602517127990723,5.800000190734863
2017-07-25,2017-10-24,330.70783557891843,326.5500000953674,319.65,6.900000095367432,11.057835578918457,6.900000095367432
2017-07-26,2017-10-25,328.0001775741577,326.75000019073485,318.95,7.800000190734863,9.050177574157715,7.800000190734863
2017-07-27,2017-10-26,328.7233987808228,323.75000009536745,319.85,3.9000000953674316,8.873398780822754,3.9000000953674316
2017-07-28,2017-10-27,324.4678876876831,326.8500001907349,312.55,14.300000190734863,11.917887687683105,14.300000190734863
2017-07-31,2017-10-30,317.42838459014894,327.4499996185303,313.55,13.899999618530273,3.878384590148926,13.899999618530273
2017-08-01,2017-10-31,314.0119345664978,331.05,316.55,-14.5,-2.5380654335021973,14.5
2017-08-02,2017-11-01,313.50327982902525,336.54999961853025,317.15,-19.399999618530273,-3.6467201709747314,19.399999618530273
2017-08-03,2017-11-02,310.3975377321243,335.04999961853025,311.65,-23.399999618530273,-1.2524622678756714,23.399999618530273
2017-08-04,2017-11-03,309.0820899963379,336.35,312.85,-23.5,-3.7679100036621094,23.5
2017-08-07,2017-11-06,309.9774688720703,334.15,312.9,-21.25,-2.9225311279296875,21.25
2017-08-08,2017-11-07,310.17933950424197,333.7499996185303,312.85,-20.899999618530273,-2.6706604957580566,20.899999618530273
2017-08-09,2017-11-08,308.81111461818216,335.2500003814697,308.65,26.600000381469727,0.1611146181821823,26.600000381469727
2017-08-10,2017-11-09,309.5697364807129,333.6499996185303,307.25,26.399999618530273,2.3197364807128906,26.399999618530273
2017-08-11,2017-11-10,309.9352445602417,332.8999996185303,301.5,31.399999618530273,8.4352445602417,31.399999618530273
2017-08-14,2017-11-13,318.1281038284302,331.5500007629395,304.6,26.950000762939453,13.528103828430176,26.950000762939453
2017-08-15,2017-11-14,318.7814184188843,331.3000007629395,304.6,26.700000762939453,14.181418418884277,26.700000762939453
2017-08-16,2017-11-15,316.96401500701904,329.1499996185303,306.25,22.899999618530273,10.714015007019043,22.899999618530273
2017-08-17,2017-11-16,321.44082870483396,331.29999961853025,307.9,23.399999618530273,13.540828704833984,23.399999618530273
2017-08-18,2017-11-17,319.73095989227295,330.95000076293945,307.75,23.200000762939453,11.98095989227295,23.200000762939453
