date,index1,index2,loss_profits,pred_date,prediction,real
2017-07-10,310.8,537.167495906353,226.36749590635299,2017-07-17,0.14325261116027832,0.7363691329956055
2017-07-11,312.7,596.7429959928988,284.04299599289885,2017-07-18,0.4003070294857025,0.9271843433380127
2017-07-12,312.6,618.7785174760222,306.1785174760222,2017-07-19,0.3071262836456299,0.9966716170310974
2017-07-13,316.55,615.7739308446646,299.2239308446646,2017-07-20,0.12961001694202423,0.9834882616996765
2017-07-14,316.7,668.939493085146,352.23949308514597,2017-07-21,0.8127970099449158,1.1510345935821533
2017-07-17,317.5,673.3633306634426,355.86333066344264,2017-07-24,0.6963947415351868,1.1618882417678833
2017-07-18,318.05,630.5704486051202,-312.5204486051202,2017-07-25,-0.0024475082755088806,1.021269679069519
2017-07-19,318.7,590.7948937900364,-272.09489379003645,2017-07-26,-0.4505108892917633,0.8901656270027161
2017-07-20,319.6,547.0034067162871,-227.40340671628712,2017-07-27,-0.7076665759086609,0.7469728589057922
2017-07-21,321.1,435.7687650530785,-114.66876505307846,2017-07-28,-0.7085270881652832,0.3890925943851471
2017-07-24,321.25,328.56915688924494,-7.319156889244937,2017-07-31,-0.6101476550102234,0.0455910861492157
2017-07-25,319.65,217.35569634497165,102.29430365502833,2017-08-01,-0.767331600189209,-0.30925828218460083
2017-07-26,318.95,173.61262805208565,145.33737194791433,2017-08-02,-0.7142006158828735,-0.4490324556827545
2017-07-27,319.85,136.48259682655336,183.36740317344666,2017-08-03,-0.5292326211929321,-0.5673811435699463
2017-07-28,312.55,90.29584256231783,222.25415743768218,2017-08-04,-0.24961483478546143,-0.7138280272483826
2017-07-31,313.55,59.59291725397111,253.9570827460289,2017-08-07,-0.17025896906852722,-0.8111817836761475
2017-08-01,316.55,136.2106333127618,180.33936668723823,2017-08-08,-0.23232832551002502,-0.5688923001289368
2017-08-02,317.15,304.51951328845695,12.630486711543028,2017-08-09,-0.4878443777561188,-0.03711528331041336
2017-08-03,311.65,487.868657077849,-176.218657077849,2017-08-10,-0.29547393321990967,0.5424969792366028
2017-08-04,312.85,897.7203558319807,584.8703558319806,2017-08-11,0.12820753455162048,1.8371611833572388
2017-08-07,312.9,1095.647465763092,-782.747465763092,2017-08-14,-0.34137240052223206,2.4615426063537598
2017-08-08,312.85,1206.3968191903828,-893.5468191903827,2017-08-15,-0.19530799984931946,2.8113491535186768
2017-08-09,308.65,1126.2951980042458,817.6451980042458,2017-08-16,0.365403413772583,2.56050705909729
2017-08-10,307.25,925.9580459755659,618.7080459755659,2017-08-17,0.8196921348571777,1.9314993619918823
2017-08-11,301.5,493.8995895570517,192.39958955705168,2017-08-18,0.6881198287010193,0.5674127340316772
2017-08-14,304.6,236.3888970860839,-68.21110291391614,2017-08-21,0.04485342651605606,-0.24827037751674652
2017-08-15,304.6,16.590835211425997,288.009164788574,2017-08-22,-0.07392442971467972,-0.9471271634101868
2017-08-16,306.25,-136.23829272329806,442.48829272329806,2017-08-23,-0.10902292281389236,-1.4350367784500122
2017-08-17,307.9,-294.86711296319965,-602.7671129631997,2017-08-24,0.06362944841384888,-1.9433332681655884
2017-08-18,307.75,-229.9033803313971,-537.6533803313971,2017-08-25,0.2085665464401245,-1.7370765209197998
2017-08-21,307.05,-153.82710139781238,-460.8771013978124,2017-08-28,0.16648323833942413,-1.494299054145813
2017-08-22,308.7,-158.69501831948753,-467.3950183194875,2017-08-29,0.1105315089225769,-1.5108400583267212
2017-08-23,308.6,-225.14975372999908,533.7497537299992,2017-08-30,-0.0436105877161026,-1.725967526435852
2017-08-24,310.1,-64.65881986021998,374.75881986022,2017-08-31,-0.10088718682527542,-1.2088125944137573
2017-08-25,310.25,-109.76478630304337,-420.01478630304337,2017-09-01,0.015721648931503296,-1.354611873626709
2017-08-28,308.2,-113.92684032171962,-422.1268403217196,2017-09-04,0.2948039174079895,-1.36837637424469
2017-08-29,307.15,-43.95359332054852,-351.1035933205485,2017-09-05,0.25466644763946533,-1.1423379182815552
2017-08-30,309.0,189.5639935415983,-119.43600645840169,2017-09-06,0.3567754626274109,-0.3853108286857605
2017-08-31,306.65,212.62823449075222,-94.02176550924776,2017-09-07,0.32802098989486694,-0.3099622428417206
2017-09-01,306.3,187.2939633205533,-119.00603667944671,2017-09-08,0.21618565917015076,-0.391532301902771
2017-09-04,303.5,226.98183362469075,-76.51816637530925,2017-09-11,0.25031107664108276,-0.26146942377090454
2017-09-05,302.7,267.36693820551034,-35.33306179448965,2017-09-12,0.21028903126716614,-0.12862959504127502
2017-09-06,302.3,220.17145168684422,-82.12854831315579,2017-09-13,0.3427884578704834,-0.2817002236843109
2017-09-07,306.2,250.1080186166614,-56.09198138333858,2017-09-14,0.5474935173988342,-0.18389369547367096
2017-09-08,306.25,382.1763344868645,75.9263344868645,2017-09-15,0.4010125994682312,0.24608157575130463
2017-09-11,309.25,599.682456689477,290.432456689477,2017-09-18,0.4889136254787445,0.9537767171859741
2017-09-12,309.2,747.1489113229513,437.94891132295135,2017-09-19,0.3758539855480194,1.432402491569519
