date,loss_profits,pred_date,prediction,real,std_index
2018-03-02,3.745777080000976,2018-06-01,4.032852649688721,4.038854598999023,7.784631678999999
2018-03-05,4.164506913103393,2018-06-04,4.267465114593506,3.9464943408966064,8.111001254
2018-03-06,4.544796334471435,2018-06-05,4.139386177062988,3.6764912605285645,8.221287595
2018-03-07,4.718589811973022,2018-06-06,4.120457172393799,3.6236631870269775,8.342252999
2018-03-08,4.835041764395752,2018-06-07,4.0111799240112305,3.566627025604248,8.40166879
2018-03-09,4.850371728067383,2018-06-08,4.013161659240723,3.569639205932617,8.420010934
2018-03-12,4.855701340017335,2018-06-11,4.267894744873047,3.566133975982666,8.421835316000001
2018-03-13,4.896129558087036,2018-06-12,4.604605197906494,3.524683713912964,8.420813272
2018-03-14,4.969921717672118,2018-06-13,4.037298202514648,3.449197292327881,8.41911901
2018-03-15,4.986896063224487,2018-06-14,4.005686283111572,3.4265739917755127,8.413470055
2018-03-16,5.028252355935059,2018-06-15,4.020558834075928,3.3839426040649414,8.41219496
2018-03-19,4.937854923196166,2018-06-18,3.9101147651672363,3.469712495803833,8.407567419
2018-03-20,4.599800476693604,2018-06-19,3.862269401550293,3.8020453453063965,8.401845822
2018-03-21,4.470998099734741,2018-06-20,4.3096699714660645,3.926344156265259,8.397342256
2018-03-22,4.205976651602784,2018-06-21,4.231035232543945,4.172942638397217,8.37891929
2018-03-23,4.213199794219726,2018-06-22,5.054775714874268,4.248144149780273,8.461343944
2018-03-26,4.060818352426269,2018-06-25,4.87856912612915,4.4356184005737305,8.496436753
2018-03-27,3.8690939370795885,2018-06-26,4.999101161956787,4.64809513092041,8.517189067999999
2018-03-28,3.7452156196113275,2018-06-27,4.709182262420654,4.871807098388672,8.617022718
2018-03-29,3.466988406026367,2018-06-28,4.924774646759033,5.168214797973633,8.635203204
2018-03-30,3.2356863002409675,2018-06-29,4.946885108947754,5.413055896759033,8.648742197
2018-04-02,2.727668508519532,2018-07-02,6.939669609069824,5.944084167480469,8.671752676
2018-04-03,2.31004363252417,2018-07-03,6.628594875335693,6.38010835647583,8.690151989
2018-04-04,1.9529652642314463,2018-07-04,7.077431678771973,6.827680587768555,8.780645852000001
2018-04-05,1.560423963486084,2018-07-05,6.960006237030029,7.239778995513916,8.800202959
2018-04-06,1.2116574493613275,2018-07-06,7.460146903991699,7.575420379638672,8.787077829
2018-04-09,0.8941727713908705,2018-07-09,7.260893821716309,7.803994655609131,8.698167427000001
2018-04-10,0.6143743625456555,2018-07-10,7.58931303024292,7.996628284454346,8.611002647000001
2018-04-11,0.35447331887744227,2018-07-11,7.606834888458252,8.220427513122559,8.574900832
2018-04-12,0.146800386446289,2018-07-12,8.140705108642578,8.414754867553711,8.561555254
2018-04-13,-0.017900802676757976,2018-07-13,8.335162162780762,8.528841018676758,8.510940216
2018-04-16,-0.1916279860424801,2018-07-16,7.369767665863037,8.64087963104248,8.449251645
2018-04-17,-0.4478865365410165,2018-07-17,7.451229572296143,8.763614654541016,8.315728118
2018-04-18,-0.6901997313388666,2018-07-18,7.976665019989014,8.882688522338867,8.192488791
2018-04-19,-0.9161530354838874,2018-07-19,7.3943095207214355,8.977038383483887,8.060885348
