date,loss_profits,pred_date,prediction,real,std_index
2017-10-02,1.0164283205068365,2018-01-01,8.44233512878418,5.893056869506836,4.876628548999999
2017-10-03,0.8449742459777836,2018-01-02,8.082014083862305,5.727203845977783,4.8822296
2017-10-04,0.6615322870996092,2018-01-03,8.335041999816895,5.554409027099609,4.89287674
2017-10-05,0.4626581137221679,2018-01-04,8.538628578186035,5.365656852722168,4.902998739
2017-10-06,0.2645690831276859,2018-01-05,8.021622657775879,5.1741557121276855,4.909586629
2017-10-09,0.07345995480932554,2018-01-08,7.886258602142334,4.991145610809326,4.917685656000001
2017-10-10,-0.24693404654492213,2018-01-09,7.979641437530518,4.776569366455078,5.023503413
2017-10-11,-0.5073380598176271,2018-01-10,8.621875762939453,4.707282543182373,5.214620603
2017-10-12,-0.7657707461850585,2018-01-11,9.244739532470703,4.686188697814941,5.451959444
2017-10-13,-0.9778610047519525,2018-01-12,8.385150909423828,4.683666229248047,5.661527233999999
2017-10-16,-1.1780593978076173,2018-01-15,8.865131378173828,4.679628372192383,5.85768777
2017-10-17,-1.3511639217395022,2018-01-16,8.124472618103027,4.696570873260498,6.047734795
2017-10-18,-1.5203560693686518,2018-01-17,8.526407241821289,4.701790809631348,6.222146878999999
2017-10-19,-1.6156595331350099,2018-01-18,8.944430351257324,4.70807409286499,6.323733626
2017-10-20,-1.7572344639013675,2018-01-19,8.937395095825195,4.702638626098633,6.45987309
2017-10-23,-1.9125557679013667,2018-01-22,8.829158782958984,4.702638626098633,6.6151943939999995
2017-10-24,-2.0481135427499995,2018-01-23,8.613943099975586,4.72900390625,6.7771174489999995
2017-10-25,-2.1911147571750487,2018-01-24,9.283341407775879,4.758143901824951,6.949258659
2017-10-26,-2.1898283852382816,2018-01-25,9.201173782348633,4.834037780761719,7.023866166
2017-10-27,-2.299047833130615,2018-01-26,8.879874229431152,4.922876834869385,7.221924668
2017-10-30,-2.326410557277832,2018-01-29,8.481100082397461,5.100031852722168,7.42644241
2017-10-31,2.570328145909424,2018-01-30,6.471513271331787,5.154536724090576,7.72486487
2017-11-01,3.007413864843752,2018-01-31,6.658899784088135,5.20318603515625,8.210599900000002
2017-11-02,3.4580299187807615,2018-02-01,6.745995998382568,5.141400337219238,8.599430256
2017-11-03,3.945575176875,2018-02-02,6.708269119262695,5.063720703125,9.00929588
2017-11-06,4.331137085887695,2018-02-05,6.624920845031738,4.982892990112305,9.314030076
2017-11-07,4.523284292773681,2018-02-06,6.045037269592285,5.062341213226318,9.585625506
2017-11-08,4.393170989831788,2018-02-07,6.30088472366333,5.455244541168213,9.848415531
2017-11-09,4.384043260144043,2018-02-08,6.904927730560303,5.640233039855957,10.0242763
2017-11-10,3.818970956186524,2018-02-09,6.147487640380859,6.231775283813477,10.05074624
2017-11-13,3.5315980800158684,2018-02-12,7.267678737640381,6.559609889984131,10.09120797
2017-11-14,3.3547087299914544,2018-02-13,6.36957311630249,6.754260540008545,10.10896927
2017-11-15,3.24864657263916,2018-02-14,6.994431972503662,6.85318660736084,10.10183318
2017-11-16,3.184455668804933,2018-02-15,6.338775157928467,6.965844631195068,10.150300300000001
2017-11-17,3.132562636101074,2018-02-16,6.480197906494141,7.043911933898926,10.17647457
2017-11-20,3.07421987263794,2018-02-19,6.716749668121338,7.0775675773620605,10.15178745
2017-11-21,2.95175432713501,2018-02-20,6.984922885894775,7.21588659286499,10.16764092
2017-11-22,2.924664062229004,2018-02-21,7.36125373840332,7.276442527770996,10.20110659
2017-11-23,2.87711229124878,2018-02-22,7.210433483123779,7.348892688751221,10.22600498
2017-11-24,2.925778521098632,2018-02-23,7.393216609954834,7.330564498901367,10.25634302
2017-11-27,2.869734625438232,2018-02-26,7.040916442871094,7.289028644561768,10.15876327
2017-11-28,2.7075424366882324,2018-02-27,6.583353519439697,7.339321613311768,10.04686405
2017-11-29,2.530369911861328,2018-02-28,6.894493103027344,7.431865692138672,9.962235604
2017-11-30,2.27187056048877,2018-03-01,5.302890777587891,7.5160627365112305,9.787933297
