date,loss_profits,pred_date,prediction,real,std_index
2018-03-02,3.818284699858764,2018-06-01,4.105255603790283,3.9663469791412354,7.784631678999999
2018-03-05,4.413488388933471,2018-06-04,4.205532550811768,3.6975128650665283,8.111001254
2018-03-06,4.577558861937256,2018-06-05,4.131249904632568,3.643728733062744,8.221287595
2018-03-07,4.750392466239379,2018-06-06,4.169610977172852,3.59186053276062,8.342252999
2018-03-08,4.8177995711737065,2018-06-07,4.084683418273926,3.583869218826294,8.40166879
2018-03-09,4.826456437234864,2018-06-08,4.072530746459961,3.5935544967651367,8.420010934
2018-03-12,4.869726312932984,2018-06-11,4.170814514160156,3.5521090030670166,8.421835316000001
2018-03-13,4.944777915478394,2018-06-12,4.428422451019287,3.4760353565216064,8.420813272
2018-03-14,5.024664292363891,2018-06-13,4.060060977935791,3.3944547176361084,8.41911901
2018-03-15,5.0888569606701655,2018-06-14,3.9086127281188965,3.324613094329834,8.413470055
2018-03-16,5.110241167427979,2018-06-15,3.935920476913452,3.3019537925720215,8.41219496
2018-03-19,4.964951909966796,2018-06-18,3.7585325241088867,3.442615509033203,8.407567419
2018-03-20,4.661333689355347,2018-06-19,3.8813202381134033,3.7405121326446533,8.401845822
2018-03-21,4.544405988147217,2018-06-20,4.165328502655029,3.852936267852783,8.397342256
2018-03-22,4.295069383078614,2018-06-21,4.331723690032959,4.083849906921387,8.37891929
2018-03-23,4.190391242431396,2018-06-22,4.8417744636535645,4.2709527015686035,8.461343944
2018-03-26,4.027363457406738,2018-06-25,4.808797359466553,4.469073295593262,8.496436753
2018-03-27,3.8372998658820787,2018-06-26,5.039407730102539,4.67988920211792,8.517189067999999
2018-03-28,3.718976224469726,2018-06-27,4.750254154205322,4.898046493530273,8.617022718
2018-03-29,3.4292977665305173,2018-06-28,5.493501663208008,5.205905437469482,8.635203204
2018-03-30,3.197319982491944,2018-06-29,5.360898971557617,5.451422214508057,8.648742197
2018-04-02,2.6823351230520025,2018-07-02,7.117153644561768,5.989417552947998,8.671752676
2018-04-03,2.2606814499069827,2018-07-03,6.949432849884033,6.429470539093018,8.690151989
2018-04-04,1.922791962534669,2018-07-04,7.244278430938721,6.857853889465332,8.780645852000001
2018-04-05,1.5055872134555663,2018-07-05,7.4647345542907715,7.294615745544434,8.800202959
2018-04-06,1.152785703298095,2018-07-06,7.835328578948975,7.634292125701904,8.787077829
2018-04-09,0.8363429145183119,2018-07-09,7.956218242645264,7.8618245124816895,8.698167427000001
2018-04-10,0.5579993358427746,2018-07-10,8.291001319885254,8.053003311157227,8.611002647000001
2018-04-11,0.29331227761767664,2018-07-11,8.496729850769043,8.281588554382324,8.574900832
2018-04-12,-0.08280693246679682,2018-07-12,8.668357849121094,8.478748321533203,8.561555254
2018-04-13,0.06833014685400407,2018-07-13,8.898821830749512,8.579270362854004,8.510940216
2018-04-16,-0.24239779195068323,2018-07-16,7.692530632019043,8.691649436950684,8.449251645
2018-04-17,-0.49699790281298917,2018-07-17,7.8972039222717285,8.812726020812988,8.315728118
2018-04-18,0.7014216170200189,2018-07-18,8.977147102355957,8.89391040802002,8.192488791
2018-04-19,0.9014597752910163,2018-07-19,8.381327629089355,8.962345123291016,8.060885348
