1date,2pred_date,3prediction,4real,5ma_today,6ma_pred,7ma_real,8loss_profits
2018-03-02,2018-06-01,-7.762185573577881,-7.030862331390381,322.4369231,314.6747375264221,315.4060607686096,7.030862331390381
2018-03-05,2018-06-04,-7.606698513031006,-6.629720211029053,322.1115385,314.504839986969,315.48181828897094,6.629720211029053
2018-03-06,2018-06-05,-9.880115509033203,-6.2289509773254395,321.8607692,311.9806536909668,315.63181822267455,6.2289509773254395
2018-03-07,2018-06-06,-8.974493980407715,-6.00437068939209,321.6884615,312.7139675195923,315.6840908106079,6.00437068939209
2018-03-08,2018-06-07,-4.2952046394348145,-5.79817008972168,321.5792308,317.2840261605652,315.7810607102783,5.79817008972168
2018-03-09,2018-06-08,-3.824158191680908,-5.7365617752075195,321.5130769,317.6889187083191,315.77651512479247,5.7365617752075195
2018-03-12,2018-06-11,-2.5301265716552734,-5.729417324066162,321.4915385,318.9614119283447,315.7621211759338,5.729417324066162
2018-03-13,2018-06-12,-3.743036985397339,-5.812995433807373,321.5076923,317.76465531460263,315.6946968661926,5.812995433807373
2018-03-14,2018-06-13,-2.0704615116119385,-5.881631851196289,321.4876923,319.41723078838805,315.6060604488037,5.881631851196289
2018-03-15,2018-06-14,-1.8483023643493652,-6.028263568878174,321.46538460000005,319.6170822356507,315.4371210311219,6.028263568878174
2018-03-16,2018-06-15,-1.7018429040908813,-6.223543167114258,321.4538462,319.7520032959091,315.23030303288573,6.223543167114258
2018-03-19,2018-06-18,-0.9550028443336487,-6.40208625793457,321.38769229999997,320.4326894556663,314.9856060420654,6.40208625793457
2018-03-20,2018-06-19,-3.1155364513397217,-6.643158435821533,321.34846150000004,318.2329250486603,314.7053030641785,6.643158435821533
2018-03-21,2018-06-20,-0.7091265916824341,-6.872249603271484,321.3184615,320.6093349083176,314.4462118967285,6.872249603271484
2018-03-22,2018-06-21,2.877105951309204,-7.268927574157715,321.3992308,324.2763367513092,314.1303032258423,-7.268927574157715
2018-03-23,2018-06-22,1.752517580986023,-7.440781116485596,321.2915385,323.044056080986,313.8507573835144,-7.440781116485596
2018-03-26,2018-06-25,4.296990394592285,-7.504242420196533,321.23,325.5269903945923,313.7257575798035,-7.504242420196533
2018-03-27,2018-06-26,3.7667925357818604,-7.652191162109375,321.1946154,324.96140793578184,313.5424242378906,-7.652191162109375
2018-03-28,2018-06-27,3.155670404434204,-7.695943832397461,321.0323077,324.1879781044342,313.33636386760253,-7.695943832397461
2018-03-29,2018-06-28,1.4443708658218384,-7.698636531829834,320.86,322.30437086582185,313.1613634681702,-7.698636531829834
2018-03-30,2018-06-29,1.0567771196365356,-7.746806621551514,320.6892308,321.74600791963655,312.9424241784485,-7.746806621551514
2018-04-02,2018-07-02,2.6397995948791504,-7.887144565582275,320.5015385,323.14133809487913,312.6143939344177,-7.887144565582275
2018-04-03,2018-07-03,1.482871413230896,-7.974860191345215,320.2907692,321.7736406132309,312.3159090086548,-7.974860191345215
2018-04-04,2018-07-04,1.1201411485671997,-7.971678256988525,319.9807692,321.1009103485672,312.0090909430115,-7.971678256988525
2018-04-05,2018-07-05,3.1946749687194824,-8.021900177001953,319.79538460000003,322.9900595687195,311.7734844229981,-8.021900177001953
2018-04-06,2018-07-06,2.421710968017578,-8.042004585266113,319.5223077,321.9440186680176,311.4803031147339,-8.042004585266113
2018-04-09,2018-07-09,2.5704891681671143,-7.986981391906738,319.2407692,321.8112583681671,311.25378780809325,-7.986981391906738
2018-04-10,2018-07-10,3.84274959564209,-7.967866897583008,318.97923080000004,322.82198039564213,311.01136390241703,-7.967866897583008
2018-04-11,2018-07-11,4.775134086608887,-8.00594425201416,318.7423077,323.5174417866089,310.73636344798587,-8.00594425201416
2018-04-12,2018-07-12,4.345902442932129,-8.028263092041016,318.51538460000006,322.8612870429322,310.48712150795905,-8.028263092041016
2018-04-13,2018-07-13,3.2258176803588867,-8.029160499572754,318.32461539999997,321.55043308035886,310.2954549004272,-8.029160499572754
2018-04-16,2018-07-16,2.480445623397827,-8.075372695922852,318.1246154,320.6050610233978,310.04924270407713,-8.075372695922852
2018-04-17,2018-07-17,4.388728618621826,-8.084498405456543,317.8769231,322.2656517186218,309.79242469454346,-8.084498405456543
2018-04-18,2018-07-18,3.3233273029327393,-8.168915748596191,317.6984615,321.02178880293275,309.5295457514038,-8.168915748596191
2018-04-19,2018-07-19,3.762106418609619,-8.335431098937988,317.53846150000004,321.30056791860966,309.20303040106205,-8.335431098937988
