date,index1,index2,loss_profits,pred_date,prediction,real
2017-07-10,310.8,314.3000001368523,3.500000136852293,2017-10-09,1.5362560749053955,1.1261261701583862
2017-07-11,312.7,320.14999975562097,7.449999755620979,2017-10-10,0.314145028591156,2.3824751377105713
2017-07-12,312.6,323.2499997353554,10.64999973535538,2017-10-11,1.1202542781829834,3.406909704208374
2017-07-13,316.55,325.64999967300895,9.099999673008938,2017-10-12,1.547141194343567,2.8747432231903076
2017-07-14,316.7,325.30000019454957,-8.60000019454958,2017-10-13,-0.16248267889022827,2.715503692626953
2017-07-17,317.5,325.4999999701977,-7.999999970197678,2017-10-16,-0.039776917546987534,2.5196850299835205
2017-07-18,318.05,325.79999975681307,7.749999756813054,2017-10-17,0.708620548248291,2.4367237091064453
2017-07-19,318.7,325.8500002889633,7.1500002889633265,2017-10-18,1.1930911540985107,2.2434892654418945
2017-07-20,319.6,324.0999999790192,4.499999979019151,2017-10-19,1.0230743885040283,1.4080100059509277
2017-07-21,321.1,326.2499998852015,5.149999885201453,2017-10-20,4.470001220703125,1.603861689567566
2017-07-24,321.25,327.0499999627471,5.799999962747108,2017-10-23,2.5660629272460938,1.8054474592208862
2017-07-25,319.65,326.5500002506971,6.900000250697133,2017-10-24,4.978629112243652,2.1586110591888428
2017-07-26,318.95,326.7500002464056,7.800000246405602,2017-10-25,3.555560350418091,2.4455244541168213
2017-07-27,319.85,323.75000016492606,3.900000164926041,2017-10-26,4.102158546447754,1.219321608543396
2017-07-28,312.55,326.84999948310855,14.299999483108536,2017-10-27,7.5174994468688965,4.575267791748047
2017-07-31,313.55,327.45000070214275,13.900000702142734,2017-10-30,2.227017641067505,4.433104991912842
2017-08-01,316.55,331.0500003166199,14.50000031661989,2017-10-31,2.5864791870117188,4.580635070800781
2017-08-02,317.15,336.54999928593634,19.39999928593636,2017-11-01,1.0928280353546143,6.116979122161865
2017-08-03,311.65,335.0499998168945,23.399999816894535,2017-11-02,3.2412099838256836,7.5084228515625
2017-08-04,312.85,336.35000037670136,23.500000376701337,2017-11-03,1.943516492843628,7.511587142944336
2017-08-07,312.9,334.14999951696393,21.249999516963953,2017-11-06,1.4248392581939697,6.791306972503662
2017-08-08,312.85,333.7499995415211,20.899999541521083,2017-11-07,2.586211919784546,6.680517673492432
2017-08-09,308.65,335.24999870109554,26.599998701095558,2017-11-08,3.4851741790771484,8.618175506591797
2017-08-10,307.25,333.6500012540817,26.4000012540817,2017-11-09,5.045868873596191,8.592351913452148
2017-08-11,301.5,332.8999999952316,31.39999999523161,2017-11-10,6.573957443237305,10.414593696594238
2017-08-14,304.6,331.5499987010956,26.94999870109558,2017-11-13,6.512089252471924,8.847668647766113
2017-08-15,304.6,331.30000079345706,26.700000793457036,2017-11-14,7.876068115234375,8.765594482421875
2017-08-16,306.25,329.1499998867512,22.899999886751175,2017-11-15,7.348283767700195,7.477550983428955
2017-08-17,307.9,331.3000003609657,23.40000036096575,2017-11-16,5.7672553062438965,7.599870204925537
2017-08-18,307.75,330.9500003123283,23.200000312328314,2017-11-17,6.008786678314209,7.538586616516113
2017-08-21,307.05,329.4500005159378,22.40000051593779,2017-11-20,6.220990180969238,7.295228958129883
2017-08-22,308.7,330.84999985885617,22.149999858856177,2017-11-21,8.146302223205566,7.175251007080078
2017-08-23,308.6,332.55000061225894,23.95000061225892,2017-11-22,5.599799633026123,7.760855674743652
2017-08-24,310.1,331.44999977636337,21.349999776363347,2017-11-23,7.9304890632629395,6.884875774383545
2017-08-25,310.25,332.24999935746195,21.999999357461945,2017-11-24,7.4503374099731445,7.091055393218994
2017-08-28,308.2,325.89999957466125,17.699999574661263,2017-11-27,6.797311782836914,5.743023872375488
2017-08-29,307.15,327.70000043201446,20.550000432014485,2017-11-28,3.885359764099121,6.690542221069336
2017-08-30,309.0,327.69999941825864,18.699999418258642,2017-11-29,6.887872219085693,6.051779747009277
2017-08-31,306.65,322.25000019860266,15.600000198602686,2017-11-30,3.310624361038208,5.087233066558838
2017-09-01,306.3,321.8499999303818,15.549999930381773,2017-12-01,8.501847267150879,5.076722145080566
2017-09-04,303.5,324.99999967098233,21.499999670982334,2017-12-04,7.09771203994751,7.084019660949707
2017-09-05,302.7,326.59999948596953,23.899999485969545,2017-12-05,4.5996832847595215,7.89560604095459
2017-09-06,302.3,321.649999639988,19.34999963998797,2017-12-06,5.211629867553711,6.400926113128662
2017-09-07,306.2,320.6999998226166,14.499999822616587,2017-12-07,3.81789493560791,4.735466957092285
2017-09-08,306.25,321.40000066161156,15.150000661611557,2017-12-08,6.265606880187988,4.946938991546631
2017-09-11,309.25,321.49999993681905,12.249999936819052,2017-12-11,2.8522145748138428,3.9611964225769043
2017-09-12,309.2,320.4500001249313,11.250000124931319,2017-12-12,2.4986014366149902,3.6384217739105225
2017-09-13,308.55,322.8499999501705,14.299999950170502,2017-12-13,2.236905574798584,4.634581089019775
2017-09-14,310.25,324.29999992251396,14.049999922513962,2017-12-14,3.6280174255371094,4.528605937957764
2017-09-15,311.2,322.7500000648498,-11.550000064849826,2017-12-15,-0.027975324541330338,3.711439609527588
2017-09-18,316.7,324.14999965929985,-7.449999659299863,2017-12-18,-0.012267417274415493,2.352383852005005
2017-09-19,316.05,323.85000001323226,7.80000001323225,2017-12-19,1.7388906478881836,2.467963933944702
2017-09-20,315.8,323.55000002956393,-7.750000029563921,2017-12-20,-0.6928173303604126,2.454084873199463
2017-09-21,316.05,316.84999999894205,0.7999999989420417,2017-12-21,4.605257511138916,0.25312450528144836
2017-09-22,313.75,318.50000014156103,4.750000141561031,2017-12-22,4.261056423187256,1.5139442682266235
2017-09-25,313.8,318.4999998643398,4.699999864339816,2017-12-25,4.145461082458496,1.4977692365646362
2017-09-26,311.8,317.45000010180473,5.6500001018047215,2017-12-26,3.5837583541870117,1.8120590448379517
2017-09-27,311.4,321.20000026559825,9.800000265598271,2017-12-27,4.037655830383301,3.147077798843384
2017-09-28,311.6,325.6500003643036,14.050000364303571,2017-12-28,4.914188861846924,4.508985996246338
2017-09-29,314.3,325.6499996480942,11.349999648094183,2017-12-29,2.201975107192993,3.611199378967285
2017-10-02,314.3,325.6499996480942,11.349999648094183,2018-01-01,4.64172887802124,3.611199378967285
2017-10-03,314.3,326.49999963164333,12.199999631643323,2018-01-02,5.0596160888671875,3.8816416263580322
2017-10-04,314.3,327.69999982881546,13.399999828815453,2018-01-03,4.532871723175049,4.263442516326904
2017-10-05,314.3,325.0000003218651,10.700000321865105,2018-01-04,4.013437271118164,3.404390811920166
