date,index1,index2,loss_profits,pred_date,prediction,real,0.52173913,11.22222219,-9.515151525
2018-03-23,311.5,303.6500003,-7.84999972,2018-06-22,4.214079857,-2.520064116,,,
2018-03-26,314.5,303.2500001,-11.24999987,2018-06-25,1.616127014,-3.577106476,,,
2018-03-27,315.15,302.4000003,12.74999974,2018-06-26,-0.48552078,-4.045692444,,,
2018-03-28,310.65,301.5499997,-9.10000028,2018-06-27,4.433191776,-2.929341793,,,
2018-03-29,314.45,299.0999995,15.35000047,2018-06-28,-1.567556143,-4.881539345,,,
2018-03-30,314.55,300.0000001,14.54999985,2018-06-29,-0.183428615,-4.625655651,,,
2018-04-02,313.45,292.9000005,20.54999945,2018-07-02,-7.09008646,-6.556069374,,,
2018-04-03,312.8,293.7500007,19.04999926,2018-07-03,-5.821416855,-6.090153217,,,
2018-04-04,307.55,292.5499994,15.00000057,2018-07-04,-4.993271828,-4.877255917,,,
2018-04-05,312.95,291.9999996,20.95000042,2018-07-05,-4.878995895,-6.694360256,,,
